id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,keyPass,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2825331707,1,34,16,0,0,aewmai6kvk2mousj7x17ivnc3,1,0,0,2025-07-02T14:55:32.417Z,2025-07-02T19:12:59Z,5786222805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786222799,130,6,5786222795,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5786222793,30,"1m85a65tvymk8wehikyv32e0a, 2nyteuqhg3tvltcdjmivfoyqx, 9heuvoli8mhpvvx2a5etxwx5h, fu9ab6roj0yeyr7c0tizygut, fpitimhwhx0wqkkrtuc10mvp, 41zohhwv521e5ip9f6xw0b00l, 4y88tihssafjvxl809gs19nmx, 79abiotlhtb5edjedx8oqjysp, 3yb4zwodejg6ohd9xippme0np, 70n6epbcr1l9dvzqrddsbax2h, 9vgflgmrmvq8i95t3n70sur55, 28taok74d18ma4me5cpy2jsh5, 7w3xkv58ny8fab96zc9dzq82y, 4l0t0twvkms04gm3w3b2xvhsl, 9ca7s5ao25ttigkddat1myt7u, 3ymykerx325m9n78m4uupyxux, 9ov9x5gap2t34kv8clhwjqvh1, deg1v8i7tm0x2lybs486ccn9x, 21ozarv0t28c56wrbchwusaju, 5f4cglhi9bgrwdqj27cgft39x, cdo8wo5jraq57v7b9dzbfc5m2, 94ank639ipwrmf820jd76hwtm, 63fk5q1mu3man2hin41ay3tka",5786222801,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786222815,197,3586,5786222803,194,fpitimhwhx0wqkkrtuc10mvp,5786222797,59,"1, 20, 18, 16, 4, 6, 14, 8, 3, 7, 23, 12, 13, 2, 5, 9, 10, 11, 15, 17, 19, 21, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825331711,1,34,16,0,0,esaef37srjqgsv1p2v50ds0fj,1,0,0,2025-07-02T14:59:00.251Z,2025-07-02T16:03:53Z,5786222949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786222945,194,5a7a72qr804w470s0l3w8gr11,5786222937,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5786222939,59,"1, 5, 6, 20, 15, 3, 13, 4, 18, 17, 9, 12, 23, 2, 8, 10, 11, 14, 16, 19, 21, 22",5786222943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786222941,130,6,5786222947,197,9397,5786222935,30,"5dr5dcb76x59xstl7y40zksx6, 2wv3bsfv3jh5ar8xw97lpxr6d, 2ve09x103aqlaeqad3tmm3u, 6aaes6ikbmrg75h6asm58wpg5, v0k2w41tlj0elpj7nrw68onp, 6d8zrjdl4ii8cjpn5vo7emz11, bnzgfrgoiwlw6boq7e7ngi162, 4345egu7vrns2vvwcyjq6yswl, 5a7a72qr804w470s0l3w8gr11, sro6084uxjkm140ylvc5uq51, 633e5o8i2ue253sezivfo917u, 5sw11n14leccm2k2b9rhy7p49, 7f3opq72gey1boxe6vcgmfvth, 1z2zkxmfncaqe92s61nbuw9ka, bdxyymqus7p5r9g6spjbq02xh, 126f64qlmn43ht3y1bas22t7u, 51kuc7ba0zrbs82iok6sia76d, 9oga9m6144l71ff91iqqnvt91, 9zg2jzrvbc5a8z3vlkhrex1pl, ccgx2mzike3wl6ry4g0ojlvbp, 65mm5or748prkqljargs2vs6i, brdcdz9kn3vsijb2l5rbbgudx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825339079,2,32,1,0,0,aewmai6kvk2mousj7x17ivnc3,1,0,0,2025-07-02T16:00:14.183Z,2025-07-02T18:44:17Z,5786264929,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825339077,2,32,1,0,0,esaef37srjqgsv1p2v50ds0fj,1,0,0,2025-07-02T16:00:14.183Z,2025-07-02T16:00:14Z,5786264927,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825339081,3,1,1,0,0,esaef37srjqgsv1p2v50ds0fj,1,50.2,50.1,2025-07-02T16:00:14.184Z,2025-07-02T16:19:11Z,5786264937,140,34.2,5786264945,279,S,5786264935,56,Back,5786264941,212,16.8,5786264943,213,3.14,5786264939,141,50.1,,,,,,,4345egu7vrns2vvwcyjq6yswl,R. Öling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825339083,4,1,1,0,3,esaef37srjqgsv1p2v50ds0fj,0,38.3,39.2,2025-07-02T16:00:17.648Z,2025-07-02T16:19:13Z,5786264963,213,0.66,5786264959,141,100.0,5786264953,157,,5786264955,56,Left,5786264957,140,90.5,5786264965,1,,5786264961,212,69.5,,,,6aaes6ikbmrg75h6asm58wpg5,E. Summanen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825339089,3,5,1,0,7,aewmai6kvk2mousj7x17ivnc3,1,12,-2,2025-07-02T16:00:22.117Z,2025-07-02T16:01:11Z,5786264979,233,5,5786264975,56,Back,5786264977,347,,,,,,,,,,,,,,,,,3yb4zwodejg6ohd9xippme0np,S. Jessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825339085,5,5,1,0,7,esaef37srjqgsv1p2v50ds0fj,0,88,102,2025-07-02T16:00:22.117Z,2025-07-02T16:00:27Z,5786264967,56,Left,5786264983,233,3,5786264969,347,,,,,,,,,,,,,,,,,6aaes6ikbmrg75h6asm58wpg5,E. Summanen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825339091,4,1,1,0,17,aewmai6kvk2mousj7x17ivnc3,0,15.5,0,2025-07-02T16:00:31.942Z,2025-07-02T16:54:57Z,5786264991,107,,5786265001,213,0.29,5786264997,141,8.4,5786264995,140,36.0,5786264999,212,22.5,5786264993,56,Back,5786265003,1,,,,,2nyteuqhg3tvltcdjmivfoyqx,G. Árnadóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825348641,410,61,1,0,19,esaef37srjqgsv1p2v50ds0fj,1,68.3,89.4,2025-07-02T16:00:33.183Z,2025-07-02T16:54:59Z,5786319343,56,Left,,,,,,,,,,,,,,,,,,,,,,2ve09x103aqlaeqad3tmm3u,J. Tynnilä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
