id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2826290133,1,34,16,0,0,4v0gyx1u59x7jzk4vxb0rlwje,1,0,0,2025-07-09T17:54:55.371Z,2025-07-09T20:16:41Z,5791572069,130,2,5791572075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791583577,197,30284,5791572063,30,"8ll4dyc6p81nlfz81v8nz3m96, 66fneusn1mkiumgjfsyn0huui, 2jwojltrp06sa8qloordtohrd, ce4cgftejsd46a0rahih0divp, 9mfotw533oa5qs1muu2z8t8lx, 9parlijxpxnfis96jwy9p37bp, a1654m0k2rptsqkxj96s955n9, z8vdz64bgqus4c85451nsrf9, 93d5k82qrmjr894k2hp5aril1, dtadpzl4ocembhsgou8zjsjjd, 9v895fdc1blaaboscv14vp149, 59pvotzjierh8rs68s99honl6, 4mywlsmfsz2sqot6jbaoq4vhm, amox5xqwe8gybft16wa7qbufp, 8eixmur5ss02hjp0vh099jyz9, 7f7tbbjqhhyydjj4wurm28xcl, 1haq2mkmbebj3jbt0z2jom4lx, 7m4siglmj27pe2v7dm9f8thbd, 6dgcji5tks2ninrirba2mvgt1, qrn5tn2zf6ohcdqbo8px3eg9, cytn6o3qnh30ljakz2dfj2k15, c7giuh90mnvajsobobcbx4ley, et9316xhhcxfepnggs7lmmfah",5791572073,194,z8vdz64bgqus4c85451nsrf9,5791572065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5791572067,59,"21, 18, 2, 13, 6, 3, 9, 8, 10, 23, 7, 1, 12, 4, 5, 11, 14, 15, 16, 17, 19, 20, 22",5791572071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290143,1,34,16,0,0,185xqd7s06sm2t85sxzfkrl,1,0,0,2025-07-09T17:54:57.992Z,2025-07-09T19:05:11Z,5791572117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791572115,130,8,5791572109,30,"czmpp6e2oo276u9prac16le51, 3vpj71lak1r3zl03qfwawu6tw, f30p9xqwupzhhiitqubpi79bd, 7l3val0z7xwpaptf5ebgimnyt, 2q1tt2u2h3q1hb3uz28rofzmc, el2jrhon9i915qbjdgi96uru2, dp5zny5ls8ys3ml75himru4et, 1j5u2majmm2vnsgxscl9kjzyt, 3uxijnhp1ibbqm6e4lfivq8k5, pugk29yysi9369f969l2o1qt, ct4fyrkcvk3i01xiz1wpsyuw9, 3eb2tx4nx4etwvuo3bnnl3lk9, e7y7c4srymaidxozrurjct71l, 757os3ykn2cuocj7tr4dqnw89, d7ajth6q3ebg8yrf65uqc8xrd, 7add1fkvvxb1v573fobgh1ryt, 6wn8b28z58phojo0llfp291at, cbozn7nychmtwwwkrxae2ga21, dm9vc2mqtbb982sx6kkd992ax, eihksc6tdooqw7ref4nt520a, b3h9p3gomjqttiuz0cxv2nh79, 3gu9gaz6w7eq79qnaqj3b7jdh, ocdptd87q86ed74lanyfdij8",5791572123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791572113,59,"16, 22, 13, 6, 3, 4, 11, 8, 14, 10, 9, 1, 21, 2, 5, 7, 12, 15, 17, 18, 19, 20, 23",5791572121,197,2859,5791572111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5791572119,194,1j5u2majmm2vnsgxscl9kjzyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290889,2,32,1,0,0,4v0gyx1u59x7jzk4vxb0rlwje,1,0,0,2025-07-09T19:01:00.387Z,2025-07-09T19:01:01Z,5791577517,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290887,2,32,1,0,0,185xqd7s06sm2t85sxzfkrl,1,0,0,2025-07-09T19:01:00.387Z,2025-07-09T19:01:00Z,5791577515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290893,3,1,1,0,0,4v0gyx1u59x7jzk4vxb0rlwje,1,50,50,2025-07-09T19:01:00.388Z,2025-07-09T19:01:37Z,5791577521,56,Back,5791577529,213,3.13,5791577523,140,33.7,5791577531,279,S,5791577525,141,50.3,5791577527,212,17.1,,,,,,,93d5k82qrmjr894k2hp5aril1,J. Fishlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290895,4,1,1,0,4,4v0gyx1u59x7jzk4vxb0rlwje,0,35.1,52.5,2025-07-09T19:01:05.256Z,2025-07-09T19:04:06Z,5791577535,157,,5791577537,56,Right,5791577545,213,5.66,5791577547,1,,5791577543,212,41.9,5791577539,140,67.4,5791577541,141,16.4,,,,9parlijxpxnfis96jwy9p37bp,G. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290897,3,1,1,0,7,185xqd7s06sm2t85sxzfkrl,1,39.3,81.1,2025-07-09T19:01:07.783Z,2025-07-09T19:24:34Z,5791577555,140,56.7,5791577553,56,Center,5791577557,141,74.4,5791577561,213,6.04,5791577559,212,18.8,5791577551,3,,,,,,,,ct4fyrkcvk3i01xiz1wpsyuw9,M. Malard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290917,6,61,1,0,8,185xqd7s06sm2t85sxzfkrl,1,49.6,61.3,2025-07-09T19:01:09.382Z,2025-07-09T19:24:37Z,5791577623,56,Back,,,,,,,,,,,,,,,,,,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826291353,48,61,1,0,9,185xqd7s06sm2t85sxzfkrl,1,47.3,56.4,2025-07-09T19:01:09.933Z,2025-07-09T19:24:41Z,5791580173,56,Back,,,,,,,,,,,,,,,,,,,,,,pugk29yysi9369f969l2o1qt,A. Majri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826290901,5,83,1,0,10,4v0gyx1u59x7jzk4vxb0rlwje,0,42.3,33.7,2025-07-09T19:01:10.999Z,2025-07-09T19:06:30Z,5791577585,399,3uxijnhp1ibbqm6e4lfivq8k5,,,,,,,,,,,,,,,,,,,,,,ce4cgftejsd46a0rahih0divp,R. Rowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
