id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,assist,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2826129085,1,34,16,0,0,70yx9y5zxeojm8sde0qyolzpl,1,0,0,2025-07-07T14:55:37.638Z,2025-07-07T14:55:37Z,5790678577,30,"ea2eq21d08asfeqh17vcxpwmi, 4ihrb3uj478vlzrbh94jj1i3t, cq38p3rul6qi2tpvr077v8n6y, 22zrashyijuh9pnjovqpyl8lx, bgzh3zwl99bpnnpj37jn4dmtx, 470uu9issmbdfyhxjq75gdbs9, 7mehm5v7egyc1r4qioexklbmc, 5exouoey2r6wtpympr6drg3it, 13hy7ggmnhfalmdqlbp6lzv11, 6291bj0xqq1w2631bajrpeb4l, aib5wgtlgl48jaezcguoxkmp5, 91vjxbtjn9fmsatxvncmwxyhh, 7yd1zxbm6jnvxhmk1v2xyh9m1, 3ruj0we4jma5m60xumyoir1ii, zuec10u63781iv5rojm31yzu, 5ovqn6llocczhae9n1kzj5nf9, 4trjsb4uoasjj3jwr77rh0k16, eb0h79vh5dwggjx7shj0ovetx, 5jwmy7qi01na2bmyw3zo3is8a, 440p9vyf2bnhoivrea2biq9k9, 40wxai4gm0pdry6545i5c68ve, eu6nudazhvggen5s7abc46bpx, 4u67uu52ej13738mz4dh9bj3e",5790678591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5790678581,59,"23, 2, 7, 12, 4, 14, 19, 11, 9, 8, 20, 1, 13, 3, 5, 6, 10, 15, 16, 17, 18, 21, 22",5790678589,197,3279,5790678587,194,bgzh3zwl99bpnnpj37jn4dmtx,5790678583,130,4,5790678585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5790678579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826129087,1,34,16,0,0,drt9red7q1dqqkq510znzyr0q,1,0,0,2025-07-07T14:55:41.360Z,2025-07-07T16:06:15Z,5790678597,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5790678605,194,6nttp222bjmjbgol4xgck8yj9,5790678607,197,30217,5790678603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5790678595,30,"dfcxvz3flh0w54vhso9xpk1d5, 89i2d3xhikw15pkpmbz9iyhd6, d2z2t9hs57x5h650mw22yieol, 15ueea8j21zale5d23rifkct1, 4u9olqnk9orietagu35v6s355, cs3pg64kurip4uftscemh01k9, 4romd36cs1jyqw2vocjkm882x, 1o571356wx95l3qbpbe00o991, 5rzau8le6m0zzack6pdapptgq, 6nttp222bjmjbgol4xgck8yj9, 9cmaj96tmze645o322ywm44b9, 3nk1zf254vq0uqes1p44gm5ed, c3854a9by7n9kh4iodbjz21d6, 9ihxuqs1v194z96ytkbr6tot1, ecfeo6y7bb7oxw23sicy5ko9h, b6mtrmc2o2155b15gyiigqmt, 2x6hdcwn2s78i5frzj4q2s2c5, 1o34553na9mwylsj2rljzlz9x, buqygjztmnvmul49w3grzuo5x, 2y69tliztigccqrcph8o0c161, 2yimhparo1qdmnu0r0qwv602d, ac3je3phwa24mcaw6z73pc9yi, 93nnx0zaylsnel62yij4fpkut",5790678601,130,10,5790678599,59,"21, 17, 22, 11, 19, 4, 8, 10, 7, 9, 15, 1, 12, 2, 3, 5, 6, 13, 14, 16, 18, 20, 23",5790678609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131697,2,32,1,0,0,drt9red7q1dqqkq510znzyr0q,1,0,0,2025-07-07T16:00:35.377Z,2025-07-07T16:00:35Z,5790694283,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131701,2,32,1,0,0,70yx9y5zxeojm8sde0qyolzpl,1,0,0,2025-07-07T16:00:35.377Z,2025-07-08T01:35:03Z,5790694297,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131707,3,1,1,0,0,70yx9y5zxeojm8sde0qyolzpl,1,50,50,2025-07-07T16:00:35.378Z,2025-07-07T16:00:39Z,5790694325,213,3.24,5790694327,279,S,5790694317,56,Back,5790694323,212,17.1,5790694319,140,33.8,5790694321,141,47.6,,,,,,,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131709,4,1,1,0,3,70yx9y5zxeojm8sde0qyolzpl,1,42.6,49.9,2025-07-07T16:00:39.182Z,2025-07-07T16:00:41Z,5790694333,56,Back,5790694337,141,87.0,5790694335,140,45.6,5790694339,212,25.4,5790694341,213,1.45,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131713,5,1,1,0,6,70yx9y5zxeojm8sde0qyolzpl,1,45.3,87.7,2025-07-07T16:00:41.838Z,2025-07-07T16:00:44Z,5790694353,212,16.6,5790694355,213,3.77,5790694349,140,32.5,5790694351,141,73.3,5790694347,56,Back,,,,,,,,,,cq38p3rul6qi2tpvr077v8n6y,Olga Carmona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131715,6,1,1,0,8,70yx9y5zxeojm8sde0qyolzpl,1,32.5,72.7,2025-07-07T16:00:44.318Z,2025-07-07T16:00:46Z,5790694367,212,15.4,5790694363,140,30.2,5790694365,141,50.3,5790694361,56,Back,5790694369,213,4.56,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131719,7,1,1,0,11,70yx9y5zxeojm8sde0qyolzpl,1,31.2,43.3,2025-07-07T16:00:46.526Z,2025-07-07T16:00:51Z,5790694389,212,30.5,5790694385,140,53.1,5790694383,56,Right,5790694391,213,5.57,5790694387,141,13.8,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826131727,8,1,1,0,16,70yx9y5zxeojm8sde0qyolzpl,1,54.5,12.7,2025-07-07T16:00:51.566Z,2025-07-07T16:00:53Z,5790694437,56,Right,5790694441,141,12.8,5790694445,213,0.00,5790694439,140,69.6,5790694443,212,15.9,,,,,,,,,,4ihrb3uj478vlzrbh94jj1i3t,Ona Batlle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
