id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/value
2826227609,1,34,16,0,0,3rnbwff9k3b56l8m83rpa3kij,1,0,0,2025-07-08T17:47:13.736Z,2025-07-08T19:17:22Z,5791224053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791224043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5791224047,130,7,5791229253,197,5468,5791224051,194,9hmgd3x5tekj4fnf0zju3i1ud,5791224041,30,"dxojafbkfxjskl0ek4nucrnpx, c36h9olifkg6s63uktgf1puqd, 3bg4ewc3n4ytybr96lc313ahh, 9lubh9wmixrdw0ttdyacul33d, 2u6w685ef24iwg0a43q64ibdg, dwbl1djkd0vcz65xunfctz84p, 8f54jq0mc8aurfde94i9og9yi, 76sdgmzs9ldvnnah6x7zlr7qh, 9hmgd3x5tekj4fnf0zju3i1ud, coj9nvuorcm7rvvotheguc5hx, 72k8bot1ynshrxvf926ga7euh, sxr5vajqgltmmymg1vbuq87o, 649s6fjt60889c9z67oaeobh0, 172op2sj2h3dyhrr5575a663u, dy5kdca1eobf6mzt3719zfvmd, cobqvig9w519u0pu924u49045, 3o1we6pb4axflmhkn1r0b01xx, 41ojypiz2yg51sriq9sfreh1x, bu8v0k5g6raoi83rgzou0eh3o, 1hr9n0uieckwc72jjbnnyznqh, 9u9n035ims7aizd8ls83np0bt, evj0ml9adsu9p9nwxnmjvqdm2, azcr7w1zs3kwh3yw24wm0srje",5791224045,59,"1, 6, 2, 11, 13, 5, 18, 23, 9, 14, 21, 12, 22, 3, 4, 7, 8, 10, 15, 16, 17, 19, 20",5791224049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826227675,1,34,16,0,0,52rvkys9wse9ip8a181ik4697,1,0,0,2025-07-08T17:48:39.837Z,2025-07-08T19:34:59Z,5791224407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791224403,59,"12, 4, 5, 15, 14, 13, 19, 16, 11, 9, 7, 1, 21, 2, 3, 6, 8, 10, 17, 18, 20, 22, 23",5791229247,197,2635,5791224411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791224399,30,"4wi12cbhl42oh50t3dxkwgct1, auyj06nha2syoygo7prfadobu, 7um4xb0p8zr4o11lsyd9n0hqt, 8iu9bdow1xgzswzl78cbioyxh, 3c80px00lrpe84s9yurszqcid, dz2s92nqmnrw691jia8e6phw5, 2m6wew2746q1xsoio3703t8t1, 3ddo1m631pf9ruzzpaujs9gph, ec1vrqeqni3lmibeazgq62eol, yobsx8qzjrdt67z3vbzygd79, f135tye7finbsv8p0fqr8bi6t, 2mgpfhn8c4e7gt4oce452j7x1, 2hmhmafor2un6m1553zwhf4d1, tjj9bi5fxsbn2xtdprqsaswl, 3qnkvefimj0i4kl78jucipnf9, eincxi6xa1nrhr9qldtxboyqd, 3i4ljm3hqc6wg8s6l4onlagut, 1i4e7ehhib7vt3tx5xmd9efv9, czvxvlyosv3nhaajvl0ylociy, 1vqpa944d79cnljfbjb8yjlcl, 9x4qkir5sofsdi6jf3qdnvgx6, 2fp1bxyyvjw06rov17vd5rjtg, ch8ce5l6elqfogji42wyyedat",5791224401,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5791224405,130,8,5791224409,194,yobsx8qzjrdt67z3vbzygd79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228911,2,32,1,0,0,3rnbwff9k3b56l8m83rpa3kij,1,0,0,2025-07-08T19:00:36.736Z,2025-07-09T03:42:13Z,5791231215,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228909,2,32,1,0,0,52rvkys9wse9ip8a181ik4697,1,0,0,2025-07-08T19:00:36.736Z,2025-07-08T19:00:37Z,5791231213,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228921,3,1,1,0,0,3rnbwff9k3b56l8m83rpa3kij,1,50,50,2025-07-08T19:00:36.737Z,2025-07-08T19:00:40Z,5791231245,140,29.5,5791231249,212,21.8,5791231251,213,2.99,5791231247,141,54.8,5791231243,56,Back,5791231253,279,S,,,,,,,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228923,4,1,1,0,3,3rnbwff9k3b56l8m83rpa3kij,1,29.3,55.4,2025-07-08T19:00:40.419Z,2025-07-09T03:43:01Z,5791231263,140,56.1,5791231271,1,,5791231267,212,34.5,5791231259,155,,5791231261,56,Center,5791231269,213,5.67,5791231265,141,26.0,,,,dwbl1djkd0vcz65xunfctz84p,O. Woś,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228927,5,1,1,0,5,3rnbwff9k3b56l8m83rpa3kij,0,55.3,25.4,2025-07-08T19:00:42.482Z,2025-07-09T03:43:09Z,5791231291,213,5.61,5791231281,168,,5791231285,140,67.3,5791231289,212,16.1,5791231287,141,10.7,5791231283,56,Right,5791231279,3,,,,,76sdgmzs9ldvnnah6x7zlr7qh,A. Achcińska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228925,3,44,1,0,8,52rvkys9wse9ip8a181ik4697,1,34.5,86.4,2025-07-08T19:00:44.778Z,2025-07-08T19:11:44Z,5791231299,233,6,5791231277,285,,5791231275,56,Back,,,,,,,,,,,,,,,,7um4xb0p8zr4o11lsyd9n0hqt,A. Nildén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228929,6,44,1,0,8,3rnbwff9k3b56l8m83rpa3kij,0,65.5,13.6,2025-07-08T19:00:44.779Z,2025-07-08T19:52:41Z,5791231297,286,,5791231303,233,3,5791231295,56,Right,,,,,,,,,,,,,,,,8f54jq0mc8aurfde94i9og9yi,N. Krezyman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826228931,4,12,1,0,8,52rvkys9wse9ip8a181ik4697,1,37.5,81.5,2025-07-08T19:00:45.678Z,2025-07-08T19:01:06Z,5791231319,213,4.91,5791231315,141,67.3,5791231311,56,Back,5791231317,212,9.8,5791231443,15,,5791231313,140,39.3,,,,,,,7um4xb0p8zr4o11lsyd9n0hqt,A. Nildén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
