id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2825483639,28,15,1,1,35,52rvkys9wse9ip8a181ik4697,1,88.0,42.1,2025-07-04T16:04:13.178Z,2025-07-04T20:48:18Z,5787071363.0,102.0,50.6,5787071423.0,233.0,15,5787071417.0,458.0,,5787071365.0,103.0,19,5787071281.0,72.0,,5787071375.0,231.0,48.4,5787071195.0,56.0,Center,5787071193.0,17.0,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,5787071285.0,82.0,5787071369.0,146.0,91.5,5787071371.0,147.0,44.6,5787071191.0,22.0,5787071373.0,230.0,98.8,5787071353.0,78.0,,,,,,,,,,,,,,,,,,,,,,blocked,left_foot,regular_play,14.366976021418006,33.35824239704295,0.0,0.8563302397858199,0.6293528622550784,0.6313379545908514,0.6313379545908514,False,-1,False,0.011617061091496746
2825483689,19,15,1,2,32,ar8e9gyeyninjade4u79kapqm,1,94.3,30.6,2025-07-04T16:05:09.853Z,2025-07-04T20:49:34Z,5787071553.0,82.0,,5787071549.0,20.0,,5787071589.0,102.0,45.3,5787071599.0,230.0,99.1,5787071595.0,146.0,95.4,5787071585.0,55.0,18,5787071603.0,233.0,31,5787245003.0,80.0,,5xeqrq3iczzork08c28rmx3ah,J. Thomsen,5787071601.0,231.0,5787071517.0,56.0,Center,5787071591.0,103.0,19,5787071547.0,23.0,5787071593.0,215.0,,5787071583.0,29.0,,44.9,5787071597.0,147.0,33.4,5787071515.0,62.0,,,,,,,,,,,,,,,blocked,right_foot,fast_break,20.22003956474863,73.62645067294969,0.0,0.7977996043525137,0.18192832585611463,0.4736983394978399,0.4736983394978399,False,-1,False,0.005121241908524604
2825483743,23,15,1,3,17,ar8e9gyeyninjade4u79kapqm,1,91.4,35.4,2025-07-04T16:05:54.812Z,2025-07-04T16:09:38Z,5787071817.0,63.0,,5787071905.0,103.0,19,5787071903.0,102.0,54.1,5787071911.0,146.0,92.1,5787071851.0,25.0,,5787071919.0,233.0,34,5787074021.0,76.0,,5787072459.0,108.0,,dz9ye5g98flhuscti7l8nillh,P. Harder,5787071915.0,230.0,5787071913.0,147.0,37,5787071917.0,231.0,47.3,5787071853.0,72.0,5787072077.0,55.0,22,5787071857.0,82.0,,98.8,5787072075.0,29.0,,5787071819.0,56.0,Center,5787072461.0,328.0,,,,,,,,,,,,blocked,left_foot,from_corner,16.944615663980105,59.50016676655259,0.0,0.8305538433601989,0.3388870359271935,0.5338876481222375,0.5338876481222375,False,-1,False,0.007585505622689162
2825485285,137,15,1,16,30,52rvkys9wse9ip8a181ik4697,1,94.5,45.8,2025-07-04T16:19:07.785Z,2025-07-04T21:19:13Z,5787080581.0,78.0,,5787080535.0,20.0,,5787080591.0,102.0,50.0,5787080541.0,82.0,,5787253255.0,16.0,,5787080605.0,231.0,47.7,5787080607.0,233.0,101,5787080603.0,230.0,99.3,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,5787253257.0,100.0,5787080599.0,146.0,95.5,5787080583.0,29.0,,5787080597.0,328.0,5787080587.0,55.0,123,5787080593.0,103.0,,,5787080585.0,154.0,,5787080413.0,22.0,,5787080417.0,56.0,,19,Center,5787080601.0,147.0,46.6,,,,,,blocked,right_foot,regular_play,6.9202601107183845,37.366669412768715,0.0,0.9307973988928162,0.5848147843025698,0.6477633948478975,0.6477633948478975,True,-1,False,0.01698162391909641
2825485885,198,15,1,24,52,52rvkys9wse9ip8a181ik4697,1,77.4,58.5,2025-07-04T16:27:30.281Z,2025-07-04T23:10:09Z,5787311123.0,233.0,784,5787084043.0,215.0,,5787084035.0,55.0,197,5787084047.0,146.0,87.1,5787084041.0,103.0,19,5787083903.0,18.0,,5787083937.0,82.0,,5787083901.0,22.0,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,5787083933.0,72.0,5787084031.0,78.0,,5787084033.0,29.0,,5787083905.0,56.0,5787084039.0,102.0,50.3,5787084049.0,147.0,,,5787084053.0,231.0,50.7,5787084051.0,230.0,99.4,,,Center,56.1,,,,,,,,,,blocked,left_foot,regular_play,24.145600013252928,20.611591280236066,0.0,0.7585439998674708,0.7709823191084881,0.6347122956795348,0.6347122956795348,False,-1,False,0.006200424970080385
2825486401,223,15,1,29,52,52rvkys9wse9ip8a181ik4697,1,89.3,43.8,2025-07-04T16:32:29.745Z,2025-07-04T21:44:06Z,5787086821.0,328.0,,5787086817.0,15.0,,5787086891.0,146.0,91.0,5787086881.0,154.0,,5787086879.0,29.0,,5787086889.0,103.0,19,5787086899.0,233.0,192,5787086895.0,230.0,99.0,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,5787086823.0,82.0,5787086747.0,56.0,Center,5787262383.0,78.0,,5787086893.0,147.0,5787086887.0,102.0,51.1,5787086897.0,231.0,,,5787086883.0,55.0,221.0,5787086745.0,17.0,,5787086875.0,24.0,44.9,48.9,,,,,,,,,,blocked,head,set_piece,12.366486970841803,30.08968623877667,0.0,0.8763351302915819,0.6656701529024814,0.6502350979873772,0.6502350979873772,True,-1,False,0.011025579511898741
2825486785,268,15,1,33,40,52rvkys9wse9ip8a181ik4697,1,80.9,41.5,2025-07-04T16:36:17.768Z,2025-07-04T21:52:30Z,5787088899.0,20.0,,5787089001.0,233.0,230,5787088999.0,231.0,49.1,5787088989.0,328.0,,5787265955.0,76.0,,5787088845.0,56.0,Center,5787088991.0,458.0,,5787088997.0,230.0,97.8,3c80px00lrpe84s9yurszqcid,N. Björn,5787088993.0,146.0,5787088987.0,103.0,19,5787088843.0,18.0,,5787265953.0,25.0,5787088985.0,102.0,52.6,5787088995.0,147.0,,82.8,5787088903.0,82.0,,,,,,,,42.6,,,,,,,,,,blocked,right_foot,from_corner,20.905980005730413,23.99031596584004,0.0,0.7909401999426959,0.7334409337128884,0.6364083600909449,0.6364083600909449,False,-1,False,0.01027222436780072
2825486797,269,13,1,33,43,52rvkys9wse9ip8a181ik4697,1,84.7,45.2,2025-07-04T16:36:21.274Z,2025-07-04T21:53:33Z,5787088909.0,17.0,,5787089085.0,458.0,,5787089045.0,72.0,,5787089079.0,77.0,,5787266307.0,25.0,,5787089081.0,102.0,61.3,5787089087.0,230.0,99.3,5787089083.0,103.0,40.3,3c80px00lrpe84s9yurszqcid,N. Björn,5787089089.0,231.0,5787088911.0,56.0,Center,,,,,,,,,,,,47.1,,,,,,,,,,,,,,,,,,,,missed,left_foot,from_corner,16.03527361787132,17.41797079220283,0.5,0.8396472638212868,0.8064669911977463,0.7777990028878387,0.7777990028878387,False,-1,False,0.005627794729599721
2825486933,241,13,1,35,6,ar8e9gyeyninjade4u79kapqm,1,83.8,67.0,2025-07-04T16:37:44.275Z,2025-07-04T21:56:57Z,5787089755.0,102.0,43.7,5787089749.0,29.0,,5787089757.0,103.0,63.9,5787089751.0,55.0,240,5787089715.0,64.0,,5787268001.0,121.0,,5787089763.0,231.0,51.3,5787089761.0,230.0,98.5,dz9ye5g98flhuscti7l8nillh,P. Harder,5787089747.0,81.0,5787089759.0,215.0,,5787089741.0,72.0,,5787089713.0,22.0,5787089717.0,56.0,Center,,,,,,,,,,,,,,,,,,,,,,,,missed,left_foot,regular_play,23.482759633399137,46.38035407344445,0.5,0.7651724036660086,0.48466273251728387,0.6514677812215885,0.6514677812215885,False,-1,False,0.0004967089704115046
2825487631,323,15,1,43,2,52rvkys9wse9ip8a181ik4697,1,74.0,44.5,2025-07-04T16:45:40.248Z,2025-07-04T22:48:32Z,5787093543.0,56.0,Center,5787093615.0,20.0,,5787093541.0,18.0,,5787093625.0,102.0,52.8,5787093627.0,103.0,27.2,5787093623.0,77.0,,5787093631.0,146.0,99.1,5787093645.0,233.0,284,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,5787093633.0,147.0,5787299553.0,113.0,,5787093629.0,458.0,,5787093539.0,26.0,,,,,,,49.1,,,,,,,,,,,,,,,,,,,,on_target,right_foot,free_kick,26.575364531836623,11.944177188446332,1.0,0.7342463546816338,0.867286920128374,0.8538846179111658,0.8538846179111658,False,-1,False,0.008894466129597352
