id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2825491509,1,34,16,0,0,x0vuldayagbmwazqjgbozu0v,1,0,0,2025-07-04T17:55:30.104Z,2025-07-04T18:58:21Z,5787115285,130,8,5787135799,197,2638,5787115291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787115281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5787115289,194,4e5uudlm9l34xd07i6dlus6ax,5787115279,30,"6fi5hacjc8lj8zej0d2lfq66t, 4e5uudlm9l34xd07i6dlus6ax, 1l4s1w66pir9xk79jp78bxnmx, agdmqurwrf5k6izewj4voxcdl, 2ij21gq2d0xqcyho9t49glkvd, 96m4k5sb92ttshdu7ktfm2aqd, elrnwzbk985f5j49tn9gg9rai, eyqhxpni376pocsunribu1jv9, bwhwthiud4nqvdjy8rq1gcdsl, 3uyzu7kyh7oe0ahcu7o22pfit, 5uli2vvgaigz4yf05bwy81l2h, 19widovycdmuk6erzbmwb8mw9, biomno1rhjrnhw59fs2yisktm, eyx4psuhprqtodl08iimdwb11, cu3fl794mtsnkfxi4jesxv9ey, 692xxz6qlvbxhspozloeujt9l, eq5z0yyr2uh1fvs5v2v8zipjp, 407696aey55f3v0iy9xcr9plh, 33rw3w7m8xbv7ojfaih6radjo, dhpmw4d7pjjow643u12b84dpm, eyssu2jrc7qnzut1tx54twlm2, 8os606vx3apb3abv88vtbkb85, 90j0tep6q5ekv8r9pfwx3fbvt",5787115287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787115283,59,"1, 7, 2, 9, 6, 4, 22, 20, 11, 16, 19, 12, 21, 3, 5, 8, 10, 13, 14, 15, 17, 18, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825491547,1,34,16,0,0,3rnbwff9k3b56l8m83rpa3kij,1,0,0,2025-07-04T17:56:39.731Z,2025-07-04T18:56:19Z,5787115527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787115525,194,9hmgd3x5tekj4fnf0zju3i1ud,5787115521,130,7,5787115519,59,"1, 6, 2, 11, 13, 4, 21, 23, 9, 8, 19, 12, 22, 3, 5, 7, 10, 14, 15, 16, 17, 18, 20",5787115515,30,"dxojafbkfxjskl0ek4nucrnpx, c36h9olifkg6s63uktgf1puqd, 3bg4ewc3n4ytybr96lc313ahh, 9lubh9wmixrdw0ttdyacul33d, 2u6w685ef24iwg0a43q64ibdg, dy5kdca1eobf6mzt3719zfvmd, 72k8bot1ynshrxvf926ga7euh, 76sdgmzs9ldvnnah6x7zlr7qh, 9hmgd3x5tekj4fnf0zju3i1ud, 3o1we6pb4axflmhkn1r0b01xx, evj0ml9adsu9p9nwxnmjvqdm2, sxr5vajqgltmmymg1vbuq87o, 649s6fjt60889c9z67oaeobh0, 172op2sj2h3dyhrr5575a663u, dwbl1djkd0vcz65xunfctz84p, cobqvig9w519u0pu924u49045, 41ojypiz2yg51sriq9sfreh1x, coj9nvuorcm7rvvotheguc5hx, bu8v0k5g6raoi83rgzou0eh3o, 1hr9n0uieckwc72jjbnnyznqh, 9u9n035ims7aizd8ls83np0bt, 8f54jq0mc8aurfde94i9og9yi, azcr7w1zs3kwh3yw24wm0srje",5787115523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787115517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5787134621,197,5879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495479,2,32,1,0,0,x0vuldayagbmwazqjgbozu0v,1,0,0,2025-07-04T19:01:17.838Z,2025-07-04T22:02:28Z,5787138469,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495475,2,32,1,0,0,3rnbwff9k3b56l8m83rpa3kij,1,0,0,2025-07-04T19:01:17.838Z,2025-07-04T19:01:17Z,5787138445,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495483,3,1,1,0,0,3rnbwff9k3b56l8m83rpa3kij,1,50.1,49.9,2025-07-04T19:01:17.839Z,2025-07-04T19:01:19Z,5787138511,141,59.0,5787138507,56,Back,5787138515,213,2.73,5787138517,279,S,5787138509,140,36.7,5787138513,212,15.4,,,,,,,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495491,4,1,1,0,2,3rnbwff9k3b56l8m83rpa3kij,1,36.8,59,2025-07-04T19:01:19.909Z,2025-07-04T22:24:47Z,5787138565,141,13.5,5787138569,213,5.58,5787138561,56,Right,5787138567,212,47.7,5787138563,140,71.4,5787287021,155,,5787138571,1,,,,,dy5kdca1eobf6mzt3719zfvmd,P. Dudek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495495,5,1,1,0,4,3rnbwff9k3b56l8m83rpa3kij,0,72.4,7.8,2025-07-04T19:01:22.286Z,2025-07-04T22:25:06Z,5787138597,213,2.07,5787138587,3,,5787138591,140,68.7,5787138595,212,8.2,5787138593,141,18.4,5787138589,56,Right,,,,,,,72k8bot1ynshrxvf926ga7euh,P. Tomasiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495497,3,1,1,0,5,x0vuldayagbmwazqjgbozu0v,0,32,80.8,2025-07-04T19:01:23.250Z,2025-07-04T22:46:29Z,5787138615,213,3.51,5787138613,212,12.6,5787138607,56,Back,5787138611,141,74.1,5787138609,140,20.8,,,,,,,,,,5uli2vvgaigz4yf05bwy81l2h,K. Bühl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495515,6,1,1,0,11,3rnbwff9k3b56l8m83rpa3kij,0,98,28.8,2025-07-04T19:01:29.389Z,2025-07-04T19:01:31Z,5787138697,195,,5787138679,56,Center,5787138687,213,2.05,5787138685,212,6.8,5787138683,141,37.7,5787138681,140,95.0,,,,,,,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825495545,4,12,1,0,12,x0vuldayagbmwazqjgbozu0v,1,4.7,58.1,2025-07-04T19:01:30.209Z,2025-07-04T22:47:23Z,5787138843,213,0.84,5787138837,140,25.6,5787138841,212,32.9,5787138835,56,Back,5787138839,141,94.2,,,,,,,,,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
