id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2826224099,1,34,16,0,0,x0vuldayagbmwazqjgbozu0v,1,0,0,2025-07-08T14:57:45.280Z,2025-07-08T14:57:45Z,5791201539,59,"1, 5, 2, 9, 6, 4, 22, 20, 11, 16, 19, 12, 21, 3, 8, 10, 13, 14, 15, 17, 18, 23",5791201549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791201543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791201541,130,8,5791201537,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5791201547,197,2638,5791201535,30,"6fi5hacjc8lj8zej0d2lfq66t, cu3fl794mtsnkfxi4jesxv9ey, 1l4s1w66pir9xk79jp78bxnmx, agdmqurwrf5k6izewj4voxcdl, 2ij21gq2d0xqcyho9t49glkvd, 96m4k5sb92ttshdu7ktfm2aqd, elrnwzbk985f5j49tn9gg9rai, eyqhxpni376pocsunribu1jv9, bwhwthiud4nqvdjy8rq1gcdsl, 3uyzu7kyh7oe0ahcu7o22pfit, 5uli2vvgaigz4yf05bwy81l2h, 19widovycdmuk6erzbmwb8mw9, biomno1rhjrnhw59fs2yisktm, eyx4psuhprqtodl08iimdwb11, 692xxz6qlvbxhspozloeujt9l, eq5z0yyr2uh1fvs5v2v8zipjp, 407696aey55f3v0iy9xcr9plh, 33rw3w7m8xbv7ojfaih6radjo, dhpmw4d7pjjow643u12b84dpm, eyssu2jrc7qnzut1tx54twlm2, 8os606vx3apb3abv88vtbkb85, 90j0tep6q5ekv8r9pfwx3fbvt",5791201545,194,2ij21gq2d0xqcyho9t49glkvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224101,1,34,16,0,0,ar8e9gyeyninjade4u79kapqm,1,0,0,2025-07-08T14:58:59.031Z,2025-07-08T23:54:34Z,5791201617,194,dz9ye5g98flhuscti7l8nillh,5791201615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791201609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5791201613,130,2,5791201621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5791201611,59,"1, 15, 11, 6, 4, 3, 19, 8, 10, 21, 18, 16, 22, 2, 5, 7, 9, 12, 13, 14, 17, 20, 23",5791201607,30,"6m436tdkdxn7jy1dc0998wru1, 7q0ltszzjzk7nlvvxjbagmggl, 8kmne7pn10uwqe6g1kc4w69cl, bqbs20rirfi1eh7k7ss4pt0ix, 3l43a8j1f8cu0vrzltw1l99ex, 1zl0fud1b9m596b1pieykfob9, 5xeqrq3iczzork08c28rmx3ah, 8rt7o6te5ltvzz2srt8kpu2g9, dz9ye5g98flhuscti7l8nillh, 3jdjaxxmie7gxyn1lhkh9p2ad, 24i5v2hlbeen8brcaa79oqjft, 2tfwt7imumm9ixv5l6xhk17md, 73ao8v9urn4zpfssj8enakm0a, 8kp0hm0mftts0lx42esqbxt5h, 8oj7cqgjacle67i49w4a3gx6, cdyp0hsm3q10ds5tv2ink2qxh, a9ds5lw4ekhfjzmlpax91mdw5, 24qwx85sfxy0r8pld85w7tzze, 96uam5me1x7vlrlhra84v0vzd, 9kcgxj8bcupe1jimbilkemoa2, 5vz9nl1i4heh44k09pke748ut, 2fg7mgljmrqedc61uiff36ytx, eidjgax6y0b5kqo83stfh21re",5791201619,197,3754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224307,2,32,1,0,0,x0vuldayagbmwazqjgbozu0v,1,0,0,2025-07-08T16:00:40.610Z,2025-07-09T01:18:36Z,5791203967,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224309,2,32,1,0,0,ar8e9gyeyninjade4u79kapqm,1,0,0,2025-07-08T16:00:40.610Z,2025-07-08T16:00:41Z,5791203969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224315,3,1,1,0,0,ar8e9gyeyninjade4u79kapqm,1,49.9,50.1,2025-07-08T16:00:40.611Z,2025-07-08T16:00:44Z,5791203985,279,S,5791203981,212,18.0,5791203979,141,44.8,5791203983,213,3.34,5791203975,56,Back,5791203977,140,33.1,,,,,,,8rt7o6te5ltvzz2srt8kpu2g9,E. Snerle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224317,4,1,1,0,3,ar8e9gyeyninjade4u79kapqm,0,36.2,42.2,2025-07-08T16:00:44.475Z,2025-07-08T16:55:07Z,5791203997,212,51.8,5791203991,56,Left,5791203995,141,84.9,5791204001,1,,5791203999,213,0.59,5791203989,157,,5791203993,140,77.1,,,,3l43a8j1f8cu0vrzltw1l99ex,E. Færge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224319,3,61,1,0,7,x0vuldayagbmwazqjgbozu0v,0,22.1,15.5,2025-07-08T16:00:48.524Z,2025-07-08T16:00:48Z,5791204003,56,Back,,,,,,,,,,,,,,,,,,,,,,cu3fl794mtsnkfxi4jesxv9ey,C. Wamser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224321,5,50,1,0,11,ar8e9gyeyninjade4u79kapqm,1,96.8,94.6,2025-07-08T16:00:52.150Z,2025-07-08T16:00:54Z,5791204007,286,,5791204005,56,Left,5791204021,233,4,,,,,,,,,,,,,,,,24i5v2hlbeen8brcaa79oqjft,S. Holmgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224323,4,7,1,0,11,x0vuldayagbmwazqjgbozu0v,1,3.2,5.4,2025-07-08T16:00:52.151Z,2025-07-08T22:00:57Z,5791204011,56,Back,5791204009,167,,5791204013,285,,5791276313,385,,5791204015,233,5,,,,,,,,,,cu3fl794mtsnkfxi4jesxv9ey,C. Wamser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826224325,5,5,1,0,12,x0vuldayagbmwazqjgbozu0v,0,4.6,-1.4,2025-07-08T16:00:53.033Z,2025-07-08T16:01:30Z,5791204025,347,,5791204023,56,Back,5791204037,233,6,,,,,,,,,,,,,,,,cu3fl794mtsnkfxi4jesxv9ey,C. Wamser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
