id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2825352379,1,34,16,0,0,65bdix24paj4i7niwm61pbrx9,1,0,0,2025-07-02T17:50:19.723Z,2025-07-02T18:28:21Z,5786341059,59,"12, 19, 8, 5, 2, 18, 4, 13, 7, 6, 14, 1, 21, 3, 9, 10, 11, 15, 16, 17, 20, 22, 23",5786341057,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5786341063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786341067,197,3111,5786341069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786341055,30,"b21lh284pf59feun9ktzfmc8a, 7qriv77djurpyvs986k0pppg4, bobxj68o75wejtxot5i1aisx5, 8jooatan3cxd38v2jyf23pot1, 1n0m61yur5f3fcfgvogm23kk5, 1ite4628zwl6kanllmr7qb1zp, 83xh5vuh726yx6l9kie7ufims, e8ivbfq0irn8f2p8krhkikzx1, 9ipu1pbzzf14ec8ebrqnq1k6i, 82attu22oztrh3s274g5yv1t5, dmu4fdak2txbx64hu58pnc00k, boj14ix58vatf4d51tv49tw4p, 2j3m39tafh9q4i3dyu6m95ka, 6tm7ijy7e8qnrxoyz2irq23v8, 9gdocwx006j6wyz4mnhzgzydx, 7ouo3qztrs5lytmtji95oesph, 7ak0q2t9ex8rcov81012amuad, 6ufssidf65zo52ru9q644hq3u, 1jj2ixzj39godwdo6rx19hyad, dzisqj9zjrxdxmqeu8kof95d6, evuecbix95d4iyto12tckcmsq, 3420vq0z953hw7ndu07n7jy1g, f5j2zq9sslh38t8bhyifsjg89",5786341061,130,10,5786341065,194,e8ivbfq0irn8f2p8krhkikzx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825352469,1,34,16,0,0,3am1t05nqol6kzj4jknzk0skn,1,0,0,2025-07-02T17:52:59.963Z,2025-07-02T17:55:15Z,5786341591,197,4314,5786341583,59,"1, 13, 2, 7, 6, 4, 18, 8, 14, 10, 11, 12, 23, 3, 5, 9, 15, 16, 17, 19, 20, 21, 22",5786341579,30,"96ai0x0bpkegwj977vsnfjzdh, 9ipb015yfu0htiqv3my57eoyx, 7p90cbeak086ytjenazacft1x, cvy1q6gtx1gs9ddemdpcf8ded, daqovjw2z3rsq6rs1vq38980l, 98q93f1kijhmnd79vkg83qitx, 1o0o6thivoulnmsklkpbwpiad, 5adluw93r1tx4n3ta3wyhj7bp, 9q17y46tt61m27cpvaxuhknp, 2cl7scn4j10rfq44mweo735cl, 1cfhmihovl78l8osqbo1w9nth, 3yqwudyn82k3mfh5uqicw5t2i, a4p5r8sktj0v98libc2blerpx, 1gldmyixpx6jfklq8j39d3y7d, 41i26rjfhd2gldlpxg7qda99m, 5bgz4zs8ovn1j8154d1jafmc5, 5nrs4qmi2yic02758w90ociui, 9eaqa98xjxsvqlcfrx69arxwq, 8gh56ar8x8yxjfcm66m7532ll, brs6i21j86k1w7cpgzorrxxwp, 5de2lhx1gnd8ks8pmge8plb6d, 5c00ea33ei5ie1iauirtge505, 2rit3zq63be48w389pnbxwphw",5786341587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786341589,194,9q17y46tt61m27cpvaxuhknp,5786341593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786341581,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5786341585,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354537,2,32,1,0,0,65bdix24paj4i7niwm61pbrx9,1,0,0,2025-07-02T19:01:11.545Z,2025-07-03T02:11:15Z,5786354273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354539,2,32,1,0,0,3am1t05nqol6kzj4jknzk0skn,1,0,0,2025-07-02T19:01:11.545Z,2025-07-02T19:01:12Z,5786354275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354541,3,1,1,0,0,65bdix24paj4i7niwm61pbrx9,1,50.1,50.1,2025-07-02T19:01:11.546Z,2025-07-02T19:01:14Z,5786354285,56,Back,5786354293,213,3.11,5786354287,140,38.1,5786354289,141,50.7,5786354291,212,12.6,5786354295,279,S,,,,,,,82attu22oztrh3s274g5yv1t5,G. Reuteler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354545,4,1,1,0,2,65bdix24paj4i7niwm61pbrx9,1,35.9,57.7,2025-07-02T19:01:14.219Z,2025-07-02T22:36:54Z,5786354309,141,85.4,5786354307,140,70.3,5786354311,212,40.7,5786354303,155,,5786354315,1,,5786354305,56,Left,5786354313,213,0.48,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354549,5,44,1,0,6,65bdix24paj4i7niwm61pbrx9,1,69.4,81,2025-07-02T19:01:18.068Z,2025-07-02T19:33:52Z,5786354323,286,,5786354339,233,3,5786354321,56,Left,,,,,,,,,,,,,,,,bobxj68o75wejtxot5i1aisx5,N. Riesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354543,3,44,1,0,6,3am1t05nqol6kzj4jknzk0skn,0,30.6,19,2025-07-02T19:01:18.069Z,2025-07-02T19:33:53Z,5786354299,56,Back,5786354343,233,5,5786354301,285,,,,,,,,,,,,,,,,,daqovjw2z3rsq6rs1vq38980l,M. Mjelde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354551,6,1,1,0,7,65bdix24paj4i7niwm61pbrx9,0,69.2,84.9,2025-07-02T19:01:19.475Z,2025-07-02T19:01:20Z,5786354325,3,,5786354333,141,83.6,5786354329,56,Left,5786354327,168,,5786354337,213,5.87,5786354331,140,71.1,5786354335,212,2.2,,,,bobxj68o75wejtxot5i1aisx5,N. Riesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354547,4,61,1,0,7,3am1t05nqol6kzj4jknzk0skn,1,30.6,21.2,2025-07-02T19:01:19.484Z,2025-07-02T19:02:14Z,5786354319,56,Back,,,,,,,,,,,,,,,,,,,,,,daqovjw2z3rsq6rs1vq38980l,M. Mjelde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354553,5,1,1,0,9,3am1t05nqol6kzj4jknzk0skn,0,32.6,18,2025-07-02T19:01:20.586Z,2025-07-02T19:02:24Z,5786354355,212,11.3,5786354351,140,43.2,5786354357,213,0.19,5786354359,1,,5786354353,141,21.2,5786354349,56,Back,5786354347,157,,,,,5adluw93r1tx4n3ta3wyhj7bp,V. Bøe Risa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354555,7,1,1,0,10,65bdix24paj4i7niwm61pbrx9,0,60,76.5,2025-07-02T19:01:21.788Z,2025-07-02T22:37:06Z,5786354373,213,5.83,5786354367,140,68.8,5786354369,141,69.8,5786354365,56,Center,5786354371,212,10.3,5786354363,3,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354557,6,1,1,0,11,3am1t05nqol6kzj4jknzk0skn,0,38.5,25.6,2025-07-02T19:01:23.537Z,2025-07-02T22:37:07Z,5786354383,212,24.4,5786354379,140,60.8,5786354377,56,Center,5786354375,157,,5786354381,141,35.8,5786354385,213,0.29,5786354387,1,,,,,cvy1q6gtx1gs9ddemdpcf8ded,I. Engen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354559,8,12,1,0,14,65bdix24paj4i7niwm61pbrx9,1,35,61.8,2025-07-02T19:01:25.627Z,2025-07-02T22:37:19Z,5786354397,212,26.4,5786354399,213,0.05,5786494219,15,,5786354391,56,Center,5786354395,141,63.6,5786354393,140,60.1,,,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354561,7,61,1,0,15,3am1t05nqol6kzj4jknzk0skn,0,45.3,43.9,2025-07-02T19:01:27.273Z,2025-07-02T19:01:27Z,5786354401,56,Back,,,,,,,,,,,,,,,,,,,,,,cvy1q6gtx1gs9ddemdpcf8ded,I. Engen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354565,9,4,1,0,16,65bdix24paj4i7niwm61pbrx9,1,55.5,54.2,2025-07-02T19:01:28.056Z,2025-07-02T19:02:11Z,5786354425,233,8,5786354409,152,,5786354407,56,Center,5786354405,13,,5786354413,286,,5786354439,295,,,,,,,,82attu22oztrh3s274g5yv1t5,G. Reuteler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354563,8,4,1,0,16,3am1t05nqol6kzj4jknzk0skn,0,44.5,45.8,2025-07-02T19:01:28.057Z,2025-07-02T19:02:11Z,5786354415,13,,5786354423,285,,5786354417,295,,5786354419,56,Back,5786354429,233,9,5786354421,152,,,,,,,,cvy1q6gtx1gs9ddemdpcf8ded,I. Engen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354567,10,1,1,0,23,65bdix24paj4i7niwm61pbrx9,1,57,51,2025-07-02T19:01:35.428Z,2025-07-02T19:01:36Z,5786354443,152,,5786354449,141,63.8,5786354453,213,0.87,5786354447,140,64.0,5786354451,212,11.4,5786354441,5,,5786354445,56,Center,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354569,11,1,1,0,25,65bdix24paj4i7niwm61pbrx9,1,64,63.8,2025-07-02T19:01:36.796Z,2025-07-02T19:01:37Z,5786354459,140,56.2,5786354463,212,9.9,5786354457,56,Center,5786354465,213,3.74,5786354461,141,55.5,,,,,,,,,,dmu4fdak2txbx64hu58pnc00k,S. Vallotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354571,12,1,1,0,26,65bdix24paj4i7niwm61pbrx9,1,56.2,55.5,2025-07-02T19:01:37.772Z,2025-07-02T19:01:40Z,5786354471,140,55.1,5786354475,212,22.9,5786354473,141,89.1,5786354469,56,Left,5786354477,213,1.62,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354573,13,1,1,0,28,65bdix24paj4i7niwm61pbrx9,1,42.4,88.2,2025-07-02T19:01:40.108Z,2025-07-02T19:01:44Z,5786354483,140,39.1,5786354487,212,19.7,5786354489,213,4.54,5786354485,141,59.7,5786354481,56,Back,,,,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354575,14,1,1,0,32,65bdix24paj4i7niwm61pbrx9,1,32.4,45.8,2025-07-02T19:01:44.388Z,2025-07-02T19:01:47Z,5786354495,140,12.7,5786354499,212,20.7,5786354497,141,45.2,5786354501,213,3.16,5786354493,56,Back,,,,,,,,,,1n0m61yur5f3fcfgvogm23kk5,J. Stierli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354577,15,1,1,0,36,65bdix24paj4i7niwm61pbrx9,0,12.7,45.2,2025-07-02T19:01:47.740Z,2025-07-02T19:01:50Z,5786354515,213,0.34,5786354511,141,70.5,5786354517,1,,5786354505,157,,5786354513,212,52.1,5786354509,140,59.5,5786354507,56,Center,,,,b21lh284pf59feun9ktzfmc8a,L. Peng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354579,9,1,1,0,39,3am1t05nqol6kzj4jknzk0skn,0,35.8,30.4,2025-07-02T19:01:50.914Z,2025-07-02T19:01:53Z,5786354529,56,Back,5786354527,3,,5786354533,141,68.4,5786354537,213,1.16,5786354535,212,28.2,5786354531,140,46.5,,,,,,,9ipb015yfu0htiqv3my57eoyx,T. Bjelde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354581,16,1,1,0,44,65bdix24paj4i7niwm61pbrx9,1,63.3,24.4,2025-07-02T19:01:56.004Z,2025-07-02T19:02:03Z,5786354555,140,71.3,5786354561,213,5.31,5786354557,141,6.1,5786354559,212,15.0,5786354553,56,Right,,,,,,,,,,83xh5vuh726yx6l9kie7ufims,N. Ivelj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825354585,17,1,1,0,51,65bdix24paj4i7niwm61pbrx9,0,96.7,22.1,2025-07-02T19:02:03.085Z,2025-07-02T22:38:08Z,5786354569,2,,5786354585,233,10,5786354581,213,1.16,5786494423,386,,5786354575,140,97.4,5786354573,56,Center,5786494421,225,,5786494425,20,,7qriv77djurpyvs986k0pppg4,I. Beney,5786354589,286,5786354579,212,1.9,5786354577,141,24.6,5786354583,236,,,,,,,,,,,,,,,,,,,,,,,,
2825354583,10,12,1,0,51,3am1t05nqol6kzj4jknzk0skn,1,1.7,83.8,2025-07-02T19:02:03.185Z,2025-07-02T19:02:04Z,5786354565,185,,5786354567,56,Back,5786354593,233,17,,,,,,,,,,,,,,,,7p90cbeak086ytjenazacft1x,M. Lund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825379153,795,61,1,0,51,3am1t05nqol6kzj4jknzk0skn,1,2.6,75.5,2025-07-02T19:02:03.544Z,2025-07-02T22:38:27Z,5786494619,56,Back,,,,,,,,,,,,,,,,,,,,,,7p90cbeak086ytjenazacft1x,M. Lund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
