id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,keyPass,assist,qualifier/16/id,qualifier/16/qualifierId,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2825965329,35,16,1,2,9,esaef37srjqgsv1p2v50ds0fj,1,2.4,50.5,2025-07-06T16:04:01.776Z,2025-07-06T16:05:16Z,5789777069.0,78.0,,5789777083.0,282.0,3am1t05nqol6kzj4jknzk0skn,5789777073.0,103.0,1.9,5789775793.0,56.0,Center,5789776461.0,375.0,02:09.457,5789776455.0,20.0,,5789777077.0,231.0,49.8,5789776307.0,28.0,,6d8zrjdl4ii8cjpn5vo7emz11,E. Nyström,5789777075.0,230.0,98.5,5789776457.0,374.0,2025-07-06 17:04:01.623,5789777081.0,281.0,2cl7scn4j10rfq44mweo735cl,5789777085.0,472.0,33.0,5789775789.0,22.0,5789777079.0,280.0,OWN_GOAL,5789775791.0,16.0,5789777071.0,102.0,49.9,,,,,,,goal,right_foot,regular_play,97.6012807293019,0.2935208928563386,1.2,0.02398719270698091,0.9967386567460407,0.6486164741066046,0.6486164741066046,False,-1,True,0.7336717759890382
2825967461,108,15,1,9,23,esaef37srjqgsv1p2v50ds0fj,1,73.6,46.5,2025-07-06T16:11:15.720Z,2025-07-06T16:11:42Z,5789788083.0,231.0,48.9,5789788069.0,103.0,19,5789788517.0,20.0,,5789787707.0,22.0,,5789788519.0,458.0,,5789787709.0,18.0,,5789788073.0,328.0,,5789788067.0,102.0,47.2,6aaes6ikbmrg75h6asm58wpg5,E. Summanen,5789788077.0,146.0,83.7,5789788075.0,139.0,,5789787919.0,82.0,,5789788081.0,230.0,97.2,5789787711.0,56.0,5789788057.0,80.0,,5789788079.0,147.0,5789788071.0,215.0,,Center,46.8,,,,,blocked,right_foot,regular_play,26.63099697720685,7.551991431423099,0.0,0.7336900302279314,0.9160889840952989,0.6683027073197622,0.6683027073197622,False,-1,False,0.009081448989858073
2825969077,179,15,1,14,55,esaef37srjqgsv1p2v50ds0fj,1,89.0,35.4,2025-07-06T16:16:47.266Z,2025-07-06T16:17:14Z,5789796705.0,56.0,Center,5789796701.0,22.0,,5789796893.0,147.0,45.3,5789796883.0,55.0,178,5789796937.0,80.0,,5789796879.0,29.0,,5789796777.0,20.0,,5789796887.0,102.0,47.4,5a7a72qr804w470s0l3w8gr11,L. Sällström,5789796881.0,154.0,,5789796889.0,103.0,15.2,5789796939.0,233.0,118,5789796703.0,63.0,,5789796891.0,146.0,,,,,,,,,97.2,,,,,,on_target,right_foot,regular_play,18.280043763623766,53.00472885729286,1.0,0.8171995623637623,0.4110585682523016,0.7501973954211955,0.7501973954211955,True,-1,False,0.01056596512851642
2825971617,285,13,1,19,48,esaef37srjqgsv1p2v50ds0fj,1,86.3,51.0,2025-07-06T16:21:41.062Z,2025-07-06T16:29:07Z,5789811817.0,73.0,,5789811831.0,146.0,91.1,5789811837.0,231.0,49.6,5789811835.0,230.0,98.6,5789811823.0,55.0,242,5789811703.0,153.0,,5789811479.0,22.0,,5789811829.0,103.0,18.1,65mm5or748prkqljargs2vs6i,O. Sevenius,5789811819.0,29.0,,5789811483.0,56.0,Center,5789811695.0,15.0,,5789811833.0,147.0,60.3,5789811697.0,17.0,5789811827.0,102.0,64.0,5789811701.0,328.0,5789811821.0,154.0,,,,,,,,missed,head,regular_play,13.736447866897763,4.174769891912435,0.5,0.8626355213310224,0.9536136678676396,0.8311383088927008,0.8311383088927008,True,-1,False,0.005727833264766726
2825971199,196,14,1,23,42,3am1t05nqol6kzj4jknzk0skn,1,91.7,49.5,2025-07-06T16:25:35.113Z,2025-07-06T16:25:49Z,5789808513.0,29.0,,5789808521.0,102.0,53.8,5789808529.0,231.0,48.0,5789808683.0,25.0,,5789808525.0,214.0,,5789808335.0,17.0,,5789808337.0,56.0,Center,5789808527.0,230.0,98.6,cvy1q6gtx1gs9ddemdpcf8ded,I. Engen,5789808423.0,328.0,,5789808523.0,103.0,38.6,5789808419.0,15.0,,5789808511.0,74.0,,5789808515.0,154.0,5789808517.0,55.0,194,,,,,,,,,,,,post,head,from_corner,8.31504660239496,3.4473868518651987,0.7,0.9168495339760504,0.9616957016459422,0.8952485240842027,0.8952485240842027,True,-1,False,0.062366752588119426
2825972143,244,15,1,29,5,3am1t05nqol6kzj4jknzk0skn,1,79.8,45.2,2025-07-06T16:30:57.521Z,2025-07-06T16:31:28Z,5789814133.0,18.0,,5789814953.0,147.0,46.4,5789814943.0,102.0,50.1,5789814959.0,233.0,318,5789814947.0,215.0,,5789814945.0,103.0,19,5789814951.0,146.0,84.7,5789814131.0,22.0,,2cl7scn4j10rfq44mweo735cl,C. Graham Hansen,5789814735.0,82.0,,5789814731.0,20.0,,5789814135.0,56.0,Center,5789814955.0,230.0,99.0,5789814949.0,458.0,5789814957.0,231.0,49.8,5789814941.0,78.0,,,,,,,,,,blocked,right_foot,regular_play,20.762466134830902,13.366930696316837,0.0,0.792375338651691,0.8514785478187018,0.6723936998062869,0.6723936998062869,False,-1,False,0.011603989450128962
2825972163,245,15,1,29,8,3am1t05nqol6kzj4jknzk0skn,1,88.7,59.6,2025-07-06T16:31:00.751Z,2025-07-06T16:31:40Z,5789814401.0,103.0,8.2,5789814409.0,146.0,93.8,5789814399.0,102.0,51.9,5789814215.0,56.0,Center,5789815197.0,233.0,319,5789814397.0,76.0,,5789814211.0,22.0,,5789814405.0,328.0,,9q17y46tt61m27cpvaxuhknp,A. Hegerberg,5789814407.0,458.0,,5789814403.0,214.0,,5789814411.0,147.0,55.4,5789814301.0,72.0,,5789814213.0,17.0,,,,,,,,,,,,,,,on_target,left_foot,regular_play,14.82733961302566,40.34981515011375,1.0,0.8517266038697434,0.5516687205542916,0.8061912577141849,0.8061912577141849,False,-1,False,0.011728109159732018
2825972635,361,15,1,30,46,esaef37srjqgsv1p2v50ds0fj,1,85.8,43.4,2025-07-06T16:32:38.879Z,2025-07-06T16:32:50Z,5789817083.0,154.0,,5789817101.0,233.0,259,5789816763.0,56.0,Center,5789816759.0,22.0,,5789817093.0,146.0,90.4,5789817091.0,103.0,19,5789816761.0,17.0,,5789817099.0,231.0,48.9,4345egu7vrns2vvwcyjq6yswl,R. Öling,5789817089.0,102.0,49.2,5789817035.0,82.0,,5789817081.0,29.0,,5789817085.0,55.0,360.0,5789817031.0,20.0,5789817097.0,230.0,99.3,5789817095.0,147.0,5789817079.0,78.0,,,45.3,,,,,blocked,right_foot,regular_play,15.65886330485071,24.928474135461272,0.0,0.8434113669514929,0.7230169540504303,0.6542696329957263,0.6542696329957263,True,-1,False,0.012031091373597149
2825972673,363,15,1,30,52,esaef37srjqgsv1p2v50ds0fj,1,81.1,48.4,2025-07-06T16:32:44.399Z,2025-07-06T16:35:59Z,5789817707.0,20.0,,5789819599.0,80.0,,5789819617.0,233.0,262,5789817869.0,108.0,,5789817871.0,328.0,,5789817875.0,458.0,,5789817877.0,146.0,99.0,5789816967.0,18.0,,5a7a72qr804w470s0l3w8gr11,L. Sällström,5789816965.0,22.0,,5789817863.0,102.0,45.8,5789817873.0,391.0,,5789817865.0,103.0,3.8,5789817867.0,215.0,5789819597.0,114.0,,5789817879.0,147.0,5789816969.0,56.0,Center,,48.4,,,,,on_target,right_foot,regular_play,18.96760396043739,4.83889880092329,1.0,0.810323960395626,0.946234457767519,0.9079999214885061,0.9079999214885061,False,-1,False,0.014822911520284816
2825972767,367,16,1,31,25,esaef37srjqgsv1p2v50ds0fj,1,85.3,54.9,2025-07-06T16:33:17.847Z,2025-07-06T16:34:14Z,5789817531.0,22.0,,5789818369.0,81.0,,5789818383.0,214.0,,5789817535.0,56.0,Center,5789818373.0,154.0,,5789817533.0,17.0,,5789818019.0,374.0,2025-07-06 17:33:16.900,5789818381.0,103.0,20.3,65mm5or748prkqljargs2vs6i,O. Sevenius,5789818389.0,231.0,51.3,5789818023.0,375.0,31:24.734,5789818375.0,55.0,366,5789818379.0,102.0,46.1,5789818371.0,29.0,5789818015.0,72.0,,5789818385.0,328.0,5789818387.0,230.0,96.5,,,,,,,goal,left_foot,regular_play,15.495160534825061,18.434948822922003,1.2,0.8450483946517494,0.7951672353008666,0.9165695284509597,0.9165695284509597,True,-1,True,1.0
