id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2825481625,1,34,16,0,0,ar8e9gyeyninjade4u79kapqm,1,0,0,2025-07-04T15:00:53.857Z,2025-07-04T22:57:53Z,5787060055,194,dz9ye5g98flhuscti7l8nillh,5787060059,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787060047,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5787060057,197,3754,5787060049,59,"1, 15, 18, 11, 3, 4, 19, 6, 10, 21, 8, 16, 22, 2, 5, 7, 9, 12, 13, 14, 17, 20, 23",5787060053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787060051,130,10,5787060045,30,"6m436tdkdxn7jy1dc0998wru1, 7q0ltszzjzk7nlvvxjbagmggl, 24i5v2hlbeen8brcaa79oqjft, 8kmne7pn10uwqe6g1kc4w69cl, 1zl0fud1b9m596b1pieykfob9, 3l43a8j1f8cu0vrzltw1l99ex, 5xeqrq3iczzork08c28rmx3ah, bqbs20rirfi1eh7k7ss4pt0ix, dz9ye5g98flhuscti7l8nillh, 3jdjaxxmie7gxyn1lhkh9p2ad, 8rt7o6te5ltvzz2srt8kpu2g9, 2tfwt7imumm9ixv5l6xhk17md, 73ao8v9urn4zpfssj8enakm0a, 8kp0hm0mftts0lx42esqbxt5h, 8oj7cqgjacle67i49w4a3gx6, cdyp0hsm3q10ds5tv2ink2qxh, a9ds5lw4ekhfjzmlpax91mdw5, 24qwx85sfxy0r8pld85w7tzze, 96uam5me1x7vlrlhra84v0vzd, 9kcgxj8bcupe1jimbilkemoa2, 5vz9nl1i4heh44k09pke748ut, 2fg7mgljmrqedc61uiff36ytx, eidjgax6y0b5kqo83stfh21re",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825481677,1,34,16,0,0,52rvkys9wse9ip8a181ik4697,1,0,0,2025-07-04T15:02:04.645Z,2025-07-04T22:53:01Z,5787060355,194,yobsx8qzjrdt67z3vbzygd79,5787060359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787060347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5787060351,130,8,5787060357,197,2634,5787060353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5787060349,59,"12, 4, 2, 15, 14, 3, 19, 16, 11, 9, 7, 1, 21, 5, 6, 8, 10, 13, 17, 18, 20, 22, 23",5787060345,30,"4wi12cbhl42oh50t3dxkwgct1, auyj06nha2syoygo7prfadobu, tjj9bi5fxsbn2xtdprqsaswl, 8iu9bdow1xgzswzl78cbioyxh, 3c80px00lrpe84s9yurszqcid, 3qnkvefimj0i4kl78jucipnf9, 2m6wew2746q1xsoio3703t8t1, 3ddo1m631pf9ruzzpaujs9gph, ec1vrqeqni3lmibeazgq62eol, yobsx8qzjrdt67z3vbzygd79, f135tye7finbsv8p0fqr8bi6t, 2mgpfhn8c4e7gt4oce452j7x1, 2hmhmafor2un6m1553zwhf4d1, 7um4xb0p8zr4o11lsyd9n0hqt, eincxi6xa1nrhr9qldtxboyqd, 3i4ljm3hqc6wg8s6l4onlagut, 1i4e7ehhib7vt3tx5xmd9efv9, dz2s92nqmnrw691jia8e6phw5, czvxvlyosv3nhaajvl0ylociy, 1vqpa944d79cnljfbjb8yjlcl, 9x4qkir5sofsdi6jf3qdnvgx6, 2fp1bxyyvjw06rov17vd5rjtg, ch8ce5l6elqfogji42wyyedat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483513,2,32,1,0,0,52rvkys9wse9ip8a181ik4697,1,0,0,2025-07-04T16:02:37.473Z,2025-07-04T16:02:37Z,5787070521,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483515,2,32,1,0,0,ar8e9gyeyninjade4u79kapqm,1,0,0,2025-07-04T16:02:37.473Z,2025-07-04T22:58:12Z,5787070523,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483517,3,1,1,0,0,52rvkys9wse9ip8a181ik4697,1,49.8,50.1,2025-07-04T16:02:37.474Z,2025-07-04T20:41:51Z,5787070527,140,30.5,5787070531,212,20.3,5787070533,213,3.08,5787070525,56,Back,5787070529,141,51.9,5787070535,279,S,,,,,,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483519,4,1,1,0,2,52rvkys9wse9ip8a181ik4697,1,37.4,45.2,2025-07-04T16:02:40.137Z,2025-07-04T16:10:00Z,5787070539,56,Back,5787070541,140,43.5,5787070545,212,17.8,5787070543,141,20.7,5787070547,213,5.08,,,,,,,,,,3c80px00lrpe84s9yurszqcid,N. Björn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483523,5,1,1,0,7,52rvkys9wse9ip8a181ik4697,1,58.5,13.2,2025-07-04T16:02:45.321Z,2025-07-04T16:02:51Z,5787070559,140,71.3,5787070565,213,0.05,5787070561,141,14.1,5787070563,212,13.5,5787070557,56,Right,,,,,,,,,,auyj06nha2syoygo7prfadobu,H. Lundkvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483521,3,83,1,0,11,ar8e9gyeyninjade4u79kapqm,0,26.1,88.4,2025-07-04T16:02:49.103Z,2025-07-04T16:09:53Z,5787070585,399,3ddo1m631pf9ruzzpaujs9gph,,,,,,,,,,,,,,,,,,,,,,8rt7o6te5ltvzz2srt8kpu2g9,E. Snerle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483527,6,61,1,0,13,52rvkys9wse9ip8a181ik4697,0,68,13.4,2025-07-04T16:02:51.274Z,2025-07-04T16:10:47Z,5787070569,56,Right,,,,,,,,,,,,,,,,,,,,,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825483525,4,49,1,0,13,ar8e9gyeyninjade4u79kapqm,1,30.5,90.9,2025-07-04T16:02:51.406Z,2025-07-04T16:03:29Z,,,,,,,,,,,,,,,,,,,,,,,,,8rt7o6te5ltvzz2srt8kpu2g9,E. Snerle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
