id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/value,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2826228997,18,13,1,1,20,52rvkys9wse9ip8a181ik4697,1,96.4,68.9,2025-07-08T19:01:56.878Z,2025-07-09T03:48:25Z,5791411525.0,214.0,,5791231805.0,458.0,,5791231809.0,231.0,50.7,5791231801.0,103.0,83.3,5791231807.0,230.0,96.4,5791231657.0,65.0,,5791231799.0,102.0,49.6,5791231797.0,74.0,,f135tye7finbsv8p0fqr8bi6t,M. Janogy,5791231763.0,72.0,5791231655.0,22.0,5791231659.0,56.0,Center,5791231803.0,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,missed,left_foot,regular_play,19.23980249378876,79.21570213243741,0.5,0.8076019750621124,0.11982553186180656,0.5589884495833869,0.5589884495833869,False,-1,False,0.0
2826229033,23,14,1,1,59,52rvkys9wse9ip8a181ik4697,1,94.2,47.2,2025-07-08T19:02:35.774Z,2025-07-09T03:49:24Z,5791231913.0,328.0,,5791231879.0,22.0,,5791232017.0,230.0,99.3,5791232007.0,154.0,,5791232511.0,214.0,,5791411813.0,17.0,,5791232005.0,29.0,,5791232009.0,55.0,22,yobsx8qzjrdt67z3vbzygd79,K. Asllani,5791232015.0,103.0,5791232019.0,231.0,5791232003.0,74.0,,5791231883.0,56.0,,39.2,47.8,Center,5791232013.0,102.0,54.0,5791231909.0,15.0,,,,,,,,,,,,,,,,,,post,head,regular_play,6.440496875241843,25.769327624338707,0.7,0.9355950312475816,0.7136741375073477,0.828340253751237,0.828340253751237,True,-1,False,0.06746728331329127
2826229089,27,13,1,2,37,52rvkys9wse9ip8a181ik4697,1,95.8,44.9,2025-07-08T19:03:14.070Z,2025-07-09T03:51:58Z,5791232299.0,55.0,25,5791232295.0,29.0,,5791232245.0,15.0,,5791232303.0,102.0,58.0,5791232249.0,328.0,,5791412423.0,77.0,,5791232297.0,154.0,,5791232183.0,16.0,,3c80px00lrpe84s9yurszqcid,N. Björn,5791232307.0,230.0,5791232185.0,56.0,5791232309.0,231.0,47.7,5791232243.0,25.0,,99.4,Center,,5791232305.0,103.0,69.4,,,,,,,,,,,,,,,,,,,,missed,head,from_corner,6.606814663663576,50.52754015165616,0.5,0.9339318533633643,0.43858288720382044,0.7051476075064919,0.7051476075064919,True,-1,False,0.00808350434360101
2826229223,43,13,1,3,59,52rvkys9wse9ip8a181ik4697,1,88.1,42.4,2025-07-08T19:04:36.613Z,2025-07-09T04:03:28Z,5791233115.0,29.0,,5791233119.0,55.0,42,5791233123.0,102.0,50.6,5791233117.0,154.0,,5791233125.0,103.0,68.1,5791233129.0,230.0,99.0,5791232997.0,17.0,,5791233053.0,20.0,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,5791233131.0,231.0,5791232995.0,22.0,5791232999.0,56.0,Center,5791233127.0,328.0,,46.9,,,5791233113.0,74.0,,,,,,,,,,,,,,,,,,,,,missed,right_foot,regular_play,14.119844191774927,32.56455849747234,0.5,0.8588015580822508,0.6381715722503074,0.7349720949079925,0.7349720949079925,True,-1,False,0.0071876438742717
2826229315,51,15,1,4,45,3rnbwff9k3b56l8m83rpa3kij,1,74.9,66.7,2025-07-08T19:05:22.056Z,2025-07-09T04:06:02Z,5791233625.0,80.0,,5791233631.0,133.0,,5791233639.0,103.0,7.6,5791233637.0,102.0,47.1,5791233645.0,147.0,50.2,5791233649.0,233.0,51,5791233599.0,72.0,,5791233627.0,29.0,,3bg4ewc3n4ytybr96lc313ahh,M. Wiankowska,5791233641.0,215.0,5791233557.0,18.0,5791233643.0,146.0,98.0,5791233555.0,22.0,,,,,5791233559.0,56.0,Center,5791233633.0,55.0,49,,,,,,,,,,,,,,,,,on_target,left_foot,regular_play,30.14796842243271,33.637357532098164,1.0,0.6985203157756729,0.626251582976687,0.7672836012032752,0.7672836012032752,False,-1,False,0.004306618362206189
2826229991,142,14,1,12,9,52rvkys9wse9ip8a181ik4697,1,92.3,59.7,2025-07-08T19:12:46.339Z,2025-07-09T04:37:58Z,5791237515.0,103.0,39.9,5791237519.0,230.0,99.5,5791237455.0,328.0,,5791237451.0,15.0,,5791237505.0,29.0,,5791237509.0,55.0,141,5791237507.0,154.0,,5791237517.0,214.0,,f135tye7finbsv8p0fqr8bi6t,M. Janogy,5791237399.0,22.0,5791237401.0,17.0,5791237521.0,231.0,50.9,5791237403.0,56.0,,,,Center,5791237513.0,102.0,51.5,5791237503.0,74.0,,,,,,,,,,,,,,,,,,post,head,regular_play,12.384667940643387,51.556946498163384,0.7,0.8761533205935661,0.4271450389092958,0.7186048399102152,0.7186048399102152,True,-1,False,0.04697396273838001
2826230209,141,15,1,14,44,3rnbwff9k3b56l8m83rpa3kij,1,92.6,26.4,2025-07-08T19:15:20.999Z,2025-07-09T04:51:06Z,5791239029.0,146.0,93.4,5791239025.0,102.0,46.8,5791432407.0,80.0,,5791238687.0,56.0,Center,5791239031.0,147.0,28.7,5791239035.0,231.0,46.9,5791239037.0,233.0,169,5791238685.0,63.0,,8f54jq0mc8aurfde94i9og9yi,N. Krezyman,5791432409.0,458.0,5791239027.0,103.0,5791238991.0,82.0,,5791238683.0,22.0,,,19,,5791238987.0,72.0,,5791239033.0,230.0,99.3,,,,,,,,,,,,,,,,,blocked,left_foot,regular_play,24.732973941683603,72.59069725304313,0.0,0.752670260583164,0.1934366971884096,0.4590991133897885,0.4590991133897885,False,-1,False,0.0027725958709850273
2826230737,239,13,1,21,31,52rvkys9wse9ip8a181ik4697,1,93.1,44.4,2025-07-08T19:22:08.664Z,2025-07-09T05:14:32Z,5791241647.0,74.0,,5791241621.0,20.0,,5791439089.0,17.0,,5791241653.0,55.0,238,5791241663.0,328.0,,5791241595.0,56.0,Center,5791241649.0,29.0,,5791241657.0,102.0,46.2,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,5791241667.0,231.0,5791241651.0,154.0,5791241665.0,230.0,98.6,5791241659.0,103.0,,46.4,,72.2,5791241739.0,160.0,,,,,,,,,,,,,,,,,,,,,missed,right_foot,throw_in_set_piece,8.886506625215564,39.06258390051847,0.5,0.9111349337478444,0.5659712899942393,0.7342453604974095,0.7342453604974095,True,-1,False,0.011366614912047397
2826230809,245,13,1,22,39,52rvkys9wse9ip8a181ik4697,1,91.9,49.4,2025-07-08T19:23:16.632Z,2025-07-09T05:16:19Z,5791242203.0,231.0,48.9,5791242193.0,55.0,243,5791242189.0,29.0,,5791242127.0,15.0,,5791242191.0,154.0,,5791242077.0,56.0,Center,5791242199.0,103.0,79.2,5791242131.0,328.0,,dz2s92nqmnrw691jia8e6phw5,A. Ilestedt,5791242197.0,102.0,5791242075.0,17.0,5791242125.0,24.0,,5791242187.0,74.0,,45.7,,,5791242201.0,230.0,98.8,,,,,,,,,,,,,,,,,,,,missed,head,set_piece,8.122191822408524,4.2363947990588535,0.5,0.9187780817759148,0.9529289466771238,0.8533899167135031,0.8533899167135031,True,-1,False,0.008126903913972817
2826231251,303,16,1,27,31,52rvkys9wse9ip8a181ik4697,1,94.8,50.6,2025-07-08T19:28:08.215Z,2025-07-09T05:48:55Z,5791244477.0,56.0,Center,5791447321.0,396.0,48.9,5791244491.0,328.0,,5791244563.0,29.0,,5791244487.0,15.0,,5791244577.0,136.0,,5791244567.0,55.0,302,5791244473.0,22.0,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,5791447319.0,395.0,5791244573.0,103.0,5791244575.0,214.0,,5791244579.0,230.0,,0.7,12.7,99.4,5791244571.0,102.0,52.3,5791244581.0,231.0,49.5,,5791244475.0,16.0,5791244497.0,375.0,27:31.150,5791244493.0,374.0,2025-07-08 20:28:07.886,5791244561.0,76.0,5791244565.0,154.0,,,,goal,head,regular_play,5.234500931320963,6.581944655178023,1.2,0.9476549906867904,0.9268672816091331,0.9971221807574561,0.9971221807574561,True,-1,True,1.0
