id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/14/value,qualifier/16/value,assist,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2825433841,15,13,1,1,47,drt9red7q1dqqkq510znzyr0q,1,84.1,24.3,2025-07-03T16:04:11.452Z,2025-07-03T16:05:32Z,5786786711.0,154.0,,5786786713.0,55.0,14,5786786553.0,22.0,,5786786707.0,84.0,,5786786727.0,230.0,99.0,5786786719.0,103.0,16.7,5786786555.0,63.0,,5786786557.0,56.0,Center,6nttp222bjmjbgol4xgck8yj9,T. Wullaert,,5786786721.0,328.0,5786786723.0,146.0,99.4,5786786595.0,20.0,5786786599.0,153.0,5786786717.0,102.0,43.4,5786786725.0,147.0,42.8,5786786705.0,120.0,5786786729.0,231.0,46.0,5786786709.0,29.0,5786786799.0,137.0,,,,,,,missed,right_foot,regular_play,30.220853727186466,58.2558724816775,0.5,0.6977914627281354,0.3527125279813611,0.5849303434856625,0.5849303434856625,True,-1,False,0.0
2825433907,43,15,1,5,1,c072llfz8v0kxjb0y9243dftx,1,87.9,50.5,2025-07-03T16:07:26.154Z,2025-07-03T18:42:52Z,5786788615.0,233.0,107,5786788533.0,29.0,,5786788545.0,146.0,98.2,5786805009.0,78.0,,5786788519.0,24.0,,5786788537.0,55.0,42,5786787007.0,56.0,Center,5786788535.0,154.0,,3ypl97rrz80zb454kq039yuol,C. Salvai,,5786788543.0,103.0,5786805011.0,328.0,,5786788541.0,102.0,5786788521.0,21.0,5786788489.0,17.0,,5786788547.0,147.0,49.8,,,,,,,,,,,13.9,48.4,,,,on_target,unknown,set_piece,12.11032617232087,2.3662479914557872,1.0,0.8788967382767913,0.9737083556504913,0.9436712020058639,0.9436712020058639,True,-1,False,0.014164015762101727
2825433961,54,15,1,6,29,drt9red7q1dqqkq510znzyr0q,1,78.5,54.4,2025-07-03T16:08:54.073Z,2025-07-03T16:13:30Z,5786787417.0,231.0,49.8,5786787401.0,55.0,53,5786787383.0,72.0,,5786787409.0,215.0,,5786787399.0,29.0,,5786787405.0,102.0,45.2,5786787397.0,80.0,,5786787407.0,103.0,19,6nttp222bjmjbgol4xgck8yj9,T. Wullaert,,5786787387.0,82.0,5786787411.0,146.0,88.4,5786787413.0,147.0,5786787351.0,18.0,5786787353.0,56.0,Center,5786787415.0,230.0,98.8,5786787419.0,233.0,5786787349.0,22.0,,,,,,,,50.2,47.0,,,blocked,left_foot,regular_play,21.945614596087303,11.565944083515296,0.0,0.780543854039127,0.8714895101831633,0.6736643946705997,0.6736643946705997,False,-1,False,0.008150580919731268
2825434019,62,15,1,8,29,c072llfz8v0kxjb0y9243dftx,1,74.4,30.9,2025-07-03T16:10:53.668Z,2025-07-03T16:16:09Z,5786787701.0,18.0,,5786787721.0,78.0,,5786787703.0,56.0,Center,5786787975.0,29.0,,5786787723.0,102.0,49.1,5786787711.0,20.0,,5786787979.0,55.0,61,5786787735.0,231.0,48.0,31myx78t8pvy886l3g8tsmrit,M. Giugliano,,5786787699.0,22.0,5786787737.0,233.0,66,5786787753.0,215.0,5786787725.0,103.0,5786787729.0,146.0,86.0,5786787715.0,82.0,,5786787733.0,230.0,5786787731.0,147.0,39.2,,,,,19,,,98.6,,,blocked,right_foot,regular_play,31.940100187695087,36.72638941867198,0.0,0.6805989981230491,0.5919290064592002,0.5498183011869797,0.5498183011869797,False,-1,False,0.005766234343678232
2825434309,121,15,1,16,59,c072llfz8v0kxjb0y9243dftx,1,85.9,24.6,2025-07-03T16:19:23.922Z,2025-07-03T18:57:28Z,5786789379.0,78.0,,5786789385.0,215.0,,5786789369.0,82.0,,5786789395.0,231.0,46.0,5786789389.0,146.0,87.9,5786789345.0,63.0,,5786789407.0,233.0,147,5786789387.0,458.0,,89l4376fhyf32a6tdjou6zqw9,A. Caruso,,5786789347.0,56.0,5786789383.0,103.0,19,5786789391.0,147.0,5786789381.0,102.0,5786789393.0,230.0,99.1,5786789363.0,20.0,,5786789343.0,22.0,,,,,,,,50.3,Center,28.2,,,,blocked,right_foot,regular_play,29.051161766786535,60.964551961564204,0.0,0.7094883823321346,0.3226160893159533,0.4805801797276399,0.4805801797276399,False,-1,False,0.0037312682248984625
2825434437,150,15,1,21,22,c072llfz8v0kxjb0y9243dftx,1,80.9,44.8,2025-07-03T16:23:47.121Z,2025-07-03T16:24:39Z,5786790179.0,55.0,149,5786790093.0,22.0,,5786790247.0,120.0,,5786790097.0,56.0,Center,5786790189.0,146.0,98.5,5786790185.0,103.0,25.9,5786790169.0,20.0,,5786790195.0,233.0,180,89l4376fhyf32a6tdjou6zqw9,A. Caruso,,5786790095.0,18.0,5786790187.0,215.0,,5786790191.0,147.0,5786790249.0,77.0,5786790183.0,102.0,52.2,5786790177.0,29.0,,,,,,,,,,,,,48.2,,,,on_target,right_foot,regular_play,19.795201438732565,15.229732891908526,1.0,0.8020479856126743,0.8307807456454608,0.8700534179387079,0.8700534179387079,False,-1,False,0.014466436051333006
2825434607,221,13,1,25,12,drt9red7q1dqqkq510znzyr0q,1,76.2,51.7,2025-07-03T16:27:37.200Z,2025-07-03T19:05:40Z,5786791103.0,55.0,220,5786791101.0,29.0,,5786791113.0,230.0,99.1,5786791111.0,215.0,,5786790961.0,22.0,,5786791107.0,102.0,41.5,5786790963.0,18.0,,5786807415.0,84.0,,9cmaj96tmze645o322ywm44b9,M. Toloba,,5786791115.0,231.0,5786791109.0,103.0,4.2,5786790965.0,56.0,5786791097.0,72.0,,,,,,,,,,,,,,,,,51.1,Center,,,,missed,left_foot,regular_play,23.860637040950934,4.085616779974885,0.5,0.7613936295904906,0.954604258000279,0.79093872923628,0.79093872923628,False,-1,False,0.0036315101412786027
2825434713,247,15,1,28,45,drt9red7q1dqqkq510znzyr0q,1,88.1,52.2,2025-07-03T16:31:09.615Z,2025-07-03T19:09:43Z,5786791711.0,25.0,,5786791713.0,20.0,,5786791721.0,102.0,50.0,5786791723.0,103.0,19,5786791717.0,82.0,,5786791739.0,233.0,209,5786791735.0,230.0,99.1,5786791727.0,328.0,,cs3pg64kurip4uftscemh01k9,A. Tysiak,,5786791729.0,458.0,5786791601.0,17.0,,5786791603.0,56.0,5786791719.0,78.0,5786791737.0,231.0,49.6,5786791725.0,108.0,,5786791733.0,147.0,5786791731.0,146.0,92.3,,,,,,,Center,51.4,,,blocked,right_foot,from_corner,12.101652779682622,10.474234828225828,0.0,0.8789834722031737,0.883619613019713,0.7166792727871835,0.7166792727871835,False,-1,False,0.015379128415038978
2825434753,222,13,1,29,41,c072llfz8v0kxjb0y9243dftx,1,92.1,46.9,2025-07-03T16:32:06.119Z,2025-07-03T19:11:42Z,5786791907.0,102.0,40.2,5786791887.0,17.0,,5786791861.0,56.0,Center,5786791903.0,55.0,220,5786791901.0,154.0,,5786791913.0,230.0,99.5,5786791911.0,328.0,,5786809491.0,81.0,,botcpxadt5i04s4p8prbd3dyi,E. Severini,,5786791899.0,29.0,5786791915.0,231.0,49.8,5786791857.0,22.0,5786791909.0,103.0,5786791895.0,15.0,,,,,,,,,,,,,,56.9,,,,,,missed,head,regular_play,8.486459803710856,21.42529379808738,0.5,0.9151354019628914,0.7619411800212513,0.794636514791532,0.794636514791532,True,-1,False,0.00795385518842849
2825434889,260,15,1,35,42,c072llfz8v0kxjb0y9243dftx,1,80.2,51.7,2025-07-03T16:38:06.591Z,2025-07-03T19:16:42Z,5786792647.0,56.0,Center,5786792719.0,233.0,279,5786792861.0,72.0,,5786792863.0,78.0,,5786792709.0,103.0,19,5786792715.0,230.0,98.9,5786792643.0,22.0,,5786792683.0,82.0,,1my1q5jn165pnwue7jzoip756,L. Di Guglielmo,,5786792701.0,154.0,5786792703.0,55.0,259,5786792711.0,146.0,5786792713.0,147.0,5786792645.0,18.0,,5786792707.0,102.0,50.7,5786792699.0,29.0,5786792717.0,231.0,50.4,,,,,51.6,,81.8,,,,blocked,left_foot,regular_play,19.872845795205073,4.907299842288159,0.0,0.8012715420479493,0.9454744461967982,0.7041509506782192,0.7041509506782192,True,-1,False,0.007865193105466727
2825434893,261,15,1,35,45,c072llfz8v0kxjb0y9243dftx,1,83.5,46.3,2025-07-03T16:38:09.575Z,2025-07-03T19:18:17Z,5786792747.0,76.0,,5786792759.0,147.0,50,5786792755.0,458.0,,5786792763.0,233.0,280,5786792727.0,20.0,,5786792751.0,103.0,4.4,5786792659.0,22.0,,5786792753.0,215.0,,7lt5as8r1xms7ujjgt7pynl5,S. Cantore,,5786792663.0,56.0,5786793001.0,133.0,,5786792661.0,17.0,5786792757.0,146.0,5786792749.0,102.0,52.6,,,,,,,,,,,,,99.7,Center,,,,,on_target,right_foot,regular_play,16.909760495051373,12.639062440630111,1.0,0.8309023950494863,0.8595659728818876,0.8902307498843608,0.8902307498843608,False,-1,False,0.01618741872677366
2825434935,300,15,1,36,52,drt9red7q1dqqkq510znzyr0q,1,88.3,55.2,2025-07-03T16:39:16.556Z,2025-07-03T19:25:07Z,5786793533.0,233.0,286,5786793079.0,103.0,14.6,5786793083.0,147.0,50,5786793081.0,146.0,99.1,5786793627.0,15.0,,5786793067.0,76.0,,5786793071.0,154.0,,5786793073.0,55.0,299,5rzau8le6m0zzack6pdapptgq,H. Eurlings,,5786793069.0,29.0,5786793049.0,328.0,,5786793703.0,391.0,5786792989.0,22.0,5786793077.0,102.0,54.3,5786792993.0,56.0,Center,5786792991.0,17.0,,,,,,,,,,,,,,on_target,head,regular_play,12.80351514233494,23.962488974578193,1.0,0.8719648485766506,0.7337501225046867,0.8689109761820663,0.8689109761820663,True,-1,False,0.012537754685390996
2825435039,325,15,1,39,52,drt9red7q1dqqkq510znzyr0q,1,88.7,59.6,2025-07-03T16:42:16.850Z,2025-07-03T16:48:16Z,5786793851.0,72.0,,5786793853.0,17.0,,5786794669.0,328.0,,5786793877.0,29.0,,5786793897.0,233.0,287,5786793607.0,56.0,Center,5786793887.0,103.0,19,5786793895.0,231.0,52.5,6nttp222bjmjbgol4xgck8yj9,T. Wullaert,,5786793885.0,102.0,5786793857.0,82.0,,5786793889.0,146.0,5786793875.0,76.0,5786793879.0,154.0,,5786793603.0,22.0,,5786793881.0,55.0,5786793893.0,230.0,99.1,5786793891.0,147.0,5786794671.0,391.0,,51.8,90.3,324.0,58.5,,blocked,left_foot,regular_play,14.82733961302566,40.34981515011375,0.0,0.8517266038697434,0.5516687205542916,0.6061912577141849,0.6061912577141849,True,-1,False,0.007843878141744868
