id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/14/value,qualifier/16/value,assist
2825433663,1,34,16,0,0,drt9red7q1dqqkq510znzyr0q,1,0,0,2025-07-03T15:08:59.534Z,2025-07-03T16:13:30Z,5786785069,30,"dfcxvz3flh0w54vhso9xpk1d5, 89i2d3xhikw15pkpmbz9iyhd6, d2z2t9hs57x5h650mw22yieol, 15ueea8j21zale5d23rifkct1, 4u9olqnk9orietagu35v6s355, cs3pg64kurip4uftscemh01k9, 4romd36cs1jyqw2vocjkm882x, 1o571356wx95l3qbpbe00o991, 6nttp222bjmjbgol4xgck8yj9, 9cmaj96tmze645o322ywm44b9, 5rzau8le6m0zzack6pdapptgq, 3nk1zf254vq0uqes1p44gm5ed, c3854a9by7n9kh4iodbjz21d6, 9ihxuqs1v194z96ytkbr6tot1, ecfeo6y7bb7oxw23sicy5ko9h, b6mtrmc2o2155b15gyiigqmt, 2x6hdcwn2s78i5frzj4q2s2c5, 1o34553na9mwylsj2rljzlz9x, buqygjztmnvmul49w3grzuo5x, 2y69tliztigccqrcph8o0c161, 2yimhparo1qdmnu0r0qwv602d, ac3je3phwa24mcaw6z73pc9yi, 93nnx0zaylsnel62yij4fpkut",5786785081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786785077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786785071,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5786786189,197,5969,5786785075,130,11,5786785073,59,"21, 17, 22, 11, 19, 4, 8, 10, 9, 15, 7, 1, 12, 2, 3, 5, 6, 13, 14, 16, 18, 20, 23",5786785079,194,6nttp222bjmjbgol4xgck8yj9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433677,1,34,16,0,0,c072llfz8v0kxjb0y9243dftx,1,0,0,2025-07-03T15:14:38.019Z,2025-07-03T16:02:02Z,5786785215,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5786785213,30,"6cazgi9vrmiy7pj7mspkmrnbp, 1my1q5jn165pnwue7jzoip756, aat1vixi4qu8bmxtw45maqytx, 19cmbo4cc9cgh10wgotg3s0k5, 3ypl97rrz80zb454kq039yuol, 4zwebuh423xgcroy4rmd5r3rp, 89l4376fhyf32a6tdjou6zqw9, botcpxadt5i04s4p8prbd3dyi, 8f64tianoo4mc7t1lyz6acqtx, 7lt5as8r1xms7ujjgt7pynl5, 31myx78t8pvy886l3g8tsmrit, dib3fbzymcfivscevdlqks89h, 6clgafy8vlbq6qw2ofptwkwd1, 23l4wxjftfctry8qgxh71zhm1, 6975lpcesbmevhg0r4va7ias4, 162sfvdvwcsap2r0v4clllqz9, 17zgb1iogatltsw1spnvyuuol, 3taxlkn9lb7otwvgbx9gyo82x, 4ghj3cp5v817497z1l8k1vw0l, 6deaavas7332takve0kva6bbp, 978grivb05fx65k9zg3g0czxl, cfntkj03dvexguaq8sp37fglx, 8qywmb7vw14hygvzliislo1xx",5786786187,197,7699,5786785221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786785219,130,12,5786785223,194,8f64tianoo4mc7t1lyz6acqtx,5786785225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5786785217,59,"1, 3, 17, 5, 23, 19, 18, 8, 10, 7, 6, 12, 22, 2, 4, 9, 11, 13, 15, 16, 20, 21, 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433757,2,32,1,0,0,c072llfz8v0kxjb0y9243dftx,1,0,0,2025-07-03T16:02:24.245Z,2025-07-03T16:02:24Z,5786786197,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433759,2,32,1,0,0,drt9red7q1dqqkq510znzyr0q,1,0,0,2025-07-03T16:02:24.245Z,2025-07-03T18:36:00Z,5786786199,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433761,3,1,1,0,0,c072llfz8v0kxjb0y9243dftx,1,50,50,2025-07-03T16:02:24.246Z,2025-07-03T16:02:28Z,5786786207,141,57.3,5786786213,279,S,5786786211,213,2.82,5786786209,212,15.7,5786786205,140,35.8,5786786203,56,Back,,,,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433763,4,1,1,0,3,c072llfz8v0kxjb0y9243dftx,1,34.8,51.5,2025-07-03T16:02:28.061Z,2025-07-03T16:02:29Z,5786786217,56,Back,5786786219,140,30.7,5786786221,141,24.2,5786786223,212,19.1,5786786225,213,4.48,,,,,,,,,,31myx78t8pvy886l3g8tsmrit,M. Giugliano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433765,5,1,1,0,5,c072llfz8v0kxjb0y9243dftx,1,30.7,24.2,2025-07-03T16:02:29.398Z,2025-07-03T16:02:31Z,5786786231,140,39.8,5786786237,213,5.35,5786786233,141,5.3,5786786235,212,16.0,5786786229,56,Back,,,,,,,,,,4zwebuh423xgcroy4rmd5r3rp,M. Lenzini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433767,6,1,1,0,6,c072llfz8v0kxjb0y9243dftx,1,39.6,5.3,2025-07-03T16:02:31.125Z,2025-07-03T16:02:34Z,5786786249,213,6.28,5786786241,56,Right,5786786247,212,24.2,5786786243,140,62.6,5786786245,141,5.1,,,,,,,,,,1my1q5jn165pnwue7jzoip756,L. Di Guglielmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433771,7,61,1,0,10,c072llfz8v0kxjb0y9243dftx,0,63,6.7,2025-07-03T16:02:34.366Z,2025-07-03T16:02:34Z,5786786253,56,Right,,,,,,,,,,,,,,,,,,,,,,89l4376fhyf32a6tdjou6zqw9,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825433769,3,49,1,0,10,drt9red7q1dqqkq510znzyr0q,1,37,87.8,2025-07-03T16:02:34.628Z,2025-07-03T16:02:34Z,,,,,,,,,,,,,,,,,,,,,,,,,d2z2t9hs57x5h650mw22yieol,L. Deloose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
