id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2825437203,19,16,1,1,27,70yx9y5zxeojm8sde0qyolzpl,1,92.9,54.2,2025-07-03T19:03:08.187Z,2025-07-03T23:33:17Z,5786806643.0,154.0,,5786879885.0,396.0,52.3,5786806649.0,102.0,49.3,5786806641.0,29.0,,5786806495.0,17.0,,5786806493.0,22.0,,5786879883.0,395.0,96.2,5786806645.0,55.0,18,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,5786806623.0,20.0,5786809007.0,78.0,5786806655.0,231.0,52.5,5786806627.0,374.0,2025-07-03 20:03:07.708,5786809451.0,214.0,5786806651.0,103.0,2.5,5786806653.0,230.0,96.3,5786806631.0,375.0,01:27.515,5786806497.0,56.0,Center,,,,,,,,,,,,,,goal,right_foot,regular_play,8.249242389456134,30.606407031509523,1.2,0.9175075761054386,0.6599288107610053,0.904981673670477,0.904981673670477,True,-1,True,0.9926659075742833
2825437635,89,16,1,6,53,70yx9y5zxeojm8sde0qyolzpl,1,96.4,50.7,2025-07-03T19:08:33.440Z,2025-07-03T23:33:27Z,5786808905.0,214.0,,5786879931.0,396.0,49.1,5786808897.0,55.0,88,5786808901.0,102.0,51.7,5786808675.0,22.0,,5786808693.0,375.0,06:53.018,5786808891.0,78.0,,5786808677.0,16.0,,7mehm5v7egyc1r4qioexklbmc,Vicky López,,5786808911.0,231.0,5786808907.0,328.0,5786808689.0,374.0,2025-07-03 20:08:33.211,5786808895.0,154.0,,5786808679.0,56.0,5786808909.0,230.0,99.0,5786808903.0,103.0,1.3,5786808893.0,29.0,,5786808685.0,20.0,,48.7,Center,5786879929.0,395.0,98.9,,,,,,,,,goal,right_foot,regular_play,3.6674241641784446,11.003540851749564,1.2,0.9633257583582155,0.8777384349805604,0.9886518338374543,0.9886518338374543,True,-1,True,1.0
2825438219,180,15,1,15,10,70yx9y5zxeojm8sde0qyolzpl,1,94.9,33.6,2025-07-03T19:16:50.709Z,2025-07-04T00:38:40Z,5786811975.0,103.0,13.3,5786811973.0,102.0,45.8,5786811979.0,458.0,,5786811971.0,80.0,,5786811941.0,20.0,,5786811983.0,147.0,45.3,5786813143.0,62.0,,5786812519.0,468.0,130,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,5786811875.0,22.0,5786812003.0,233.0,5786811981.0,146.0,98.1,5786909023.0,215.0,,5786811879.0,56.0,,,,,,,,,,,,,,Center,,,,131,,,,,,,,on_target,right_foot,regular_play,17.174690681348526,72.72558042472669,1.0,0.8282530931865147,0.19193799528081457,0.6888826358588503,0.6888826358588503,False,-1,False,0.01207591756862204
2825438495,212,15,1,17,55,70yx9y5zxeojm8sde0qyolzpl,1,86.8,66.0,2025-07-03T19:19:35.699Z,2025-07-03T19:20:41Z,5786814167.0,146.0,98.4,5786813403.0,22.0,,5786813405.0,64.0,,5786814177.0,233.0,147,5786814157.0,55.0,211,5786813973.0,20.0,,5786814163.0,103.0,1.3,5786813407.0,56.0,Center,aib5wgtlgl48jaezcguoxkmp5,Clàudia Pina,,5786814169.0,147.0,5786814155.0,154.0,5786814161.0,102.0,52.6,5786814153.0,29.0,,5786814165.0,328.0,5786814151.0,76.0,,,,,,,,,,,52.9,,,,,,,,,,,,,on_target,right_foot,regular_play,20.74222745994268,50.47736872882887,1.0,0.7925777254005733,0.439140347457457,0.7487731943974664,0.7487731943974664,True,-1,False,0.00822212186619394
2825438605,223,15,1,18,50,70yx9y5zxeojm8sde0qyolzpl,1,86.7,51.5,2025-07-03T19:20:30.619Z,2025-07-03T20:00:06Z,5786814247.0,147.0,51.1,5786814103.0,72.0,,5786814231.0,78.0,,5786814251.0,231.0,48.4,5786814047.0,17.0,,5786814271.0,233.0,153,5786814241.0,102.0,50.0,5786814249.0,230.0,99.1,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,5786814045.0,22.0,5786814107.0,82.0,5786814243.0,103.0,19,5786814245.0,146.0,90.4,5786830819.0,458.0,5786814049.0,56.0,Center,,,,,,,,,,,,,,,,,,,,,,,blocked,left_foot,regular_play,13.384319183283099,6.4347391510367205,0.0,0.866156808167169,0.9285028983218142,0.7250135927634118,0.7250135927634118,False,-1,False,0.013828665430276981
2825438723,237,13,1,20,25,70yx9y5zxeojm8sde0qyolzpl,1,85.5,48.5,2025-07-03T19:22:05.331Z,2025-07-03T19:22:28Z,5786814829.0,328.0,,5786814765.0,56.0,Center,5786814821.0,55.0,236,5786814817.0,29.0,,5786814763.0,17.0,,5786814825.0,102.0,42.2,5786814761.0,22.0,,5786814831.0,230.0,98.5,5exouoey2r6wtpympr6drg3it,Alèxia Putellas,,5786814827.0,103.0,5786814833.0,231.0,5786814819.0,154.0,,5786814875.0,72.0,,5786814815.0,84.0,,,,,,,,,,,,,23.6,,,,,48.7,,,,,,,,missed,left_foot,regular_play,14.577379737113251,5.9061411137705,0.5,0.8542262026288675,0.9343762098469944,0.8220033440056453,0.8220033440056453,True,-1,False,0.0069074006593098656
2825438951,266,13,1,23,50,70yx9y5zxeojm8sde0qyolzpl,1,77.7,68.9,2025-07-03T19:25:30.465Z,2025-07-04T00:56:20Z,5786816199.0,83.0,,5786816213.0,230.0,97.5,5786816129.0,20.0,,5786816211.0,215.0,,5786816207.0,102.0,58.2,5786816215.0,231.0,52.0,5786816089.0,22.0,,5786816201.0,29.0,,7mehm5v7egyc1r4qioexklbmc,Vicky López,,5786816091.0,18.0,5786816209.0,103.0,5786816093.0,56.0,Center,5786816203.0,55.0,265,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,missed,right_foot,regular_play,29.231831964486933,40.28239749543833,0.5,0.7076816803551307,0.5524178056062408,0.6487980138239244,0.6487980138239244,False,-1,False,0.0023410353807156803
2825439197,197,13,1,26,4,27z7xb0913v9ktnlazdhlspja,1,89.6,59.1,2025-07-03T19:27:45.177Z,2025-07-03T19:34:54Z,5786817797.0,24.0,,5786817857.0,55.0,195,5786820827.0,17.0,,5786817305.0,56.0,Center,5786817805.0,153.0,,5786817867.0,146.0,98.4,5786817803.0,328.0,,5786817799.0,15.0,,dnhhxotpnin9pc00ps4gu961h,Carole Costa,,5786817871.0,230.0,5786817851.0,73.0,5786817865.0,391.0,,5786817853.0,29.0,,5786817873.0,231.0,5786817855.0,154.0,,5786817861.0,102.0,98.7,5786817869.0,147.0,80.3,5786817863.0,103.0,8.3,97.8,53.6,,,,,,,,,,,,missed,head,set_piece,13.819189556555049,41.185925165709634,0.5,0.8618081044344496,0.542378609269893,0.7074368245547477,0.7074368245547477,True,-1,False,0.005669197008528446
2825439219,201,15,1,26,18,27z7xb0913v9ktnlazdhlspja,1,84.2,60.0,2025-07-03T19:27:58.273Z,2025-07-03T19:58:50Z,5786823931.0,102.0,48.4,5786823939.0,230.0,97.6,5786823857.0,24.0,,5786823933.0,103.0,19,5786823927.0,55.0,200,5786823935.0,146.0,85.8,5786823923.0,29.0,,5786823937.0,147.0,58.8,3q4vkcycbd9wzga8j5oz54qnd,Beatriz Fonseca,,5786823859.0,20.0,5786817401.0,56.0,5786823921.0,78.0,,5786823865.0,82.0,,5786823941.0,231.0,5786823861.0,17.0,,5786823925.0,154.0,,5786823943.0,233.0,285,,,,,52.0,,,,Center,,,,,,,,blocked,right_foot,set_piece,18.698663053812158,32.33018573505036,0.0,0.8130133694618784,0.6407757140549961,0.6174380620012502,0.6174380620012502,True,-1,False,0.009801510116708394
2825439409,315,15,1,28,39,70yx9y5zxeojm8sde0qyolzpl,1,96.6,57.8,2025-07-03T19:30:19.760Z,2025-07-03T19:30:41Z,5786818707.0,146.0,98.0,5786818715.0,233.0,213,5786818689.0,76.0,,5786818695.0,55.0,314,5786818693.0,154.0,,5786818713.0,231.0,53.2,5786818699.0,102.0,53.2,5786818711.0,230.0,99.5,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,5786818691.0,29.0,5786818709.0,147.0,5786818563.0,61.0,,5786818701.0,103.0,19,5786818675.0,82.0,5786818703.0,328.0,,5786818561.0,22.0,,5786818705.0,100.0,,5786818671.0,72.0,,,,5786818565.0,56.0,Center,56.0,,,,,,,,blocked,left_foot,regular_play,8.508818954473059,66.4477363271053,0.0,0.9149118104552694,0.26169181858771884,0.5444722697584234,0.5444722697584234,True,-1,False,0.011837594393665976
