id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/15/value,qualifier/16/value
2826145293,1,34,16,0,0,27z7xb0913v9ktnlazdhlspja,1,0,0,2025-07-07T17:48:15.033Z,2025-07-07T19:03:22Z,5790770285,130,3,5790770281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5790770293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5790770289,194,8brmyhnddbrfem17hlo0x8z4l,5790770287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5790770279,30,"12eqmq6fxnbc52l63zb4t0x5h, 8brmyhnddbrfem17hlo0x8z4l, 7lx9lvt04ne2umnr922nbx68l, 7dlyawb4x2lr5gjcz5b1y5ivp, f24lwuatps6dy3yzdifyir6qd, dnhhxotpnin9pc00ps4gu961h, 7dzhnro49uj2w4lj29v1mv845, bzcupszwezr2tzjpytyv2fka2, 9z1t9mvz8t05hzqoxzo6wt1hx, bwgrqzoiwl9z0ovlwi7p3nydx, 25u358p365rnbnt0cptnyt3h1, 7vdr4g6rqi77o5jtsqyoy38q1, 4zzev9ipwk47u9zhplash7ehg, 8xcig6rlbm7bq7149ze4e8afp, avpkow6gf0a4rkzpt7s7mckr8, 99j9u948ieqwtast0d06mf46h, 14c84da3uglvp8gtjpxospo4q, enc3v69b04w7jr0qkhiaq5a6t, a1eqxs80sdwhvtr9yqjyc2mz9, cgx1qqjzb8y82adujg80cndnt, 8izfrbtymdpt9djs5egdt3swk, 3q4vkcycbd9wzga8j5oz54qnd, 8kukp6ra73620447j4uj0uei1",5790770283,59,"12, 9, 5, 13, 19, 15, 8, 7, 17, 21, 11, 1, 22, 2, 3, 4, 6, 10, 14, 16, 18, 20, 23",5790770291,197,4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826145307,1,34,16,0,0,c072llfz8v0kxjb0y9243dftx,1,0,0,2025-07-07T17:48:20.796Z,2025-07-07T17:49:39Z,5790770357,130,12,5790770359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5790770363,197,3724,5790770353,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5790770355,59,"1, 3, 17, 5, 23, 19, 18, 8, 10, 7, 6, 12, 22, 2, 4, 9, 11, 13, 14, 15, 16, 20, 21",5790770351,30,"6cazgi9vrmiy7pj7mspkmrnbp, 1my1q5jn165pnwue7jzoip756, aat1vixi4qu8bmxtw45maqytx, 19cmbo4cc9cgh10wgotg3s0k5, 3ypl97rrz80zb454kq039yuol, 4zwebuh423xgcroy4rmd5r3rp, 89l4376fhyf32a6tdjou6zqw9, botcpxadt5i04s4p8prbd3dyi, 8f64tianoo4mc7t1lyz6acqtx, 7lt5as8r1xms7ujjgt7pynl5, 31myx78t8pvy886l3g8tsmrit, dib3fbzymcfivscevdlqks89h, 6clgafy8vlbq6qw2ofptwkwd1, 23l4wxjftfctry8qgxh71zhm1, 6975lpcesbmevhg0r4va7ias4, 162sfvdvwcsap2r0v4clllqz9, 17zgb1iogatltsw1spnvyuuol, 3taxlkn9lb7otwvgbx9gyo82x, 8qywmb7vw14hygvzliislo1xx, 4ghj3cp5v817497z1l8k1vw0l, 6deaavas7332takve0kva6bbp, 978grivb05fx65k9zg3g0czxl, cfntkj03dvexguaq8sp37fglx",5790770365,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5790770361,194,8f64tianoo4mc7t1lyz6acqtx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150065,2,32,1,0,0,c072llfz8v0kxjb0y9243dftx,1,0,0,2025-07-07T19:00:45.990Z,2025-07-07T19:00:47Z,5790798295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150061,2,32,1,0,0,27z7xb0913v9ktnlazdhlspja,1,0,0,2025-07-07T19:00:45.990Z,2025-07-07T23:04:52Z,5790798293,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150069,3,1,1,0,0,c072llfz8v0kxjb0y9243dftx,1,50.2,49.8,2025-07-07T19:00:45.991Z,2025-07-07T19:00:48Z,5790798335,279,S,5790798331,212,14.7,5790798327,140,36.2,5790798329,141,51.4,5790798333,213,3.07,5790798325,56,Back,,,,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150073,4,1,1,0,2,c072llfz8v0kxjb0y9243dftx,1,36.2,51.4,2025-07-07T19:00:48.281Z,2025-07-07T19:00:50Z,5790798361,141,13.5,5790798365,213,4.63,5790798363,212,25.9,5790798357,56,Back,5790798359,140,34.1,,,,,,,,,,31myx78t8pvy886l3g8tsmrit,M. Giugliano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150081,5,1,1,0,4,c072llfz8v0kxjb0y9243dftx,1,35.5,14.8,2025-07-07T19:00:50.713Z,2025-07-07T19:00:59Z,5790798431,213,5.91,5790798423,56,Right,5790798429,212,20.2,5790798427,141,3.9,5790798425,140,53.4,,,,,,,,,,4zwebuh423xgcroy4rmd5r3rp,M. Lenzini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150189,5,83,1,0,10,27z7xb0913v9ktnlazdhlspja,0,42.1,93.5,2025-07-07T19:00:56.141Z,2025-07-07T19:01:55Z,5790799091,399,89l4376fhyf32a6tdjou6zqw9,,,,,,,,,,,,,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150087,3,83,1,0,12,27z7xb0913v9ktnlazdhlspja,0,40,87.8,2025-07-07T19:00:58.191Z,2025-07-07T19:01:32Z,5790798803,399,89l4376fhyf32a6tdjou6zqw9,,,,,,,,,,,,,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150085,6,4,1,0,13,c072llfz8v0kxjb0y9243dftx,1,57.4,7.4,2025-07-07T19:00:59.705Z,2025-07-07T19:07:56Z,5790798499,233,4,5790798459,286,,5790798457,265,,5790798455,152,,5790798451,13,,5790798453,56,Right,,,,,,,89l4376fhyf32a6tdjou6zqw9,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150089,4,4,1,0,13,27z7xb0913v9ktnlazdhlspja,0,42.6,92.6,2025-07-07T19:00:59.706Z,2025-07-07T19:07:56Z,5790798483,56,Back,5790798487,265,,5790798489,285,,5790798481,13,,5790798485,152,,5790798507,233,6,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150203,7,1,1,1,10,c072llfz8v0kxjb0y9243dftx,0,56.9,3.5,2025-07-07T19:01:56.761Z,2025-07-07T19:02:07Z,5790799111,5,,5790799115,152,,5790799119,140,89.4,5790799117,56,Center,5790799123,212,43.5,5790799113,157,,5790799127,1,,5790799125,213,0.67,31myx78t8pvy886l3g8tsmrit,M. Giugliano,5790799121,141,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150219,6,12,1,1,12,27z7xb0913v9ktnlazdhlspja,1,8.2,45.2,2025-07-07T19:01:58.236Z,2025-07-07T19:02:02Z,5790799223,213,1.52,5790799217,140,9.7,5790799219,141,93.8,5790799215,56,Back,5790799221,212,33.1,,,,,,,,,,f24lwuatps6dy3yzdifyir6qd,Diana Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150221,7,61,1,1,16,27z7xb0913v9ktnlazdhlspja,0,10.6,95,2025-07-07T19:02:02.637Z,2025-07-07T19:02:02Z,5790799227,56,Back,,,,,,,,,,,,,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150225,8,5,1,1,17,27z7xb0913v9ktnlazdhlspja,0,12.8,101.8,2025-07-07T19:02:03.572Z,2025-07-07T19:03:21Z,5790799233,56,Back,5790799265,233,8,5790799235,347,,,,,,,,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150227,8,5,1,1,17,c072llfz8v0kxjb0y9243dftx,1,87.2,-1.8,2025-07-07T19:02:03.572Z,2025-07-07T19:03:21Z,5790799261,233,8,5790799239,347,,5790799237,56,Right,,,,,,,,,,,,,,,,1my1q5jn165pnwue7jzoip756,L. Di Guglielmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150269,9,1,1,1,36,c072llfz8v0kxjb0y9243dftx,1,89.4,0,2025-07-07T19:02:22.584Z,2025-07-07T19:02:26Z,5790799471,213,1.31,5790799463,56,Center,5790799469,212,17.7,5790799467,141,23.1,5790799461,107,,5790799465,140,93.8,,,,,,,1my1q5jn165pnwue7jzoip756,L. Di Guglielmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150271,10,1,1,1,40,c072llfz8v0kxjb0y9243dftx,0,98.5,31.7,2025-07-07T19:02:26.409Z,2025-07-07T19:02:28Z,5790799509,286,,5790799481,212,2.3,5790799515,195,,5790799503,236,,5790799475,56,Center,5790799505,233,10,5790799477,140,97.7,5790799479,141,34.8,89l4376fhyf32a6tdjou6zqw9,A. Caruso,5790799483,213,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150279,10,74,1,1,40,27z7xb0913v9ktnlazdhlspja,1,1.8,66.9,2025-07-07T19:02:26.410Z,2025-07-07T19:07:55Z,5790799501,285,,5790799499,56,Back,5790799511,233,10,,,,,,,,,,,,,,,,dnhhxotpnin9pc00ps4gu961h,Carole Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150273,9,43,1,1,41,27z7xb0913v9ktnlazdhlspja,1,0,0,2025-07-07T19:02:27.167Z,2025-07-07T19:02:29Z,5790799523,144,61,5790799485,56,Back,,,,,,,,,,,,,,,,,,,dnhhxotpnin9pc00ps4gu961h,Carole Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150321,14,61,1,1,41,c072llfz8v0kxjb0y9243dftx,1,96.8,37.5,2025-07-07T19:02:27.590Z,2025-07-07T19:02:47Z,5790799733,56,Center,,,,,,,,,,,,,,,,,,,,,,89l4376fhyf32a6tdjou6zqw9,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150313,12,5,1,1,42,27z7xb0913v9ktnlazdhlspja,1,-1.5,59.6,2025-07-07T19:02:28.105Z,2025-07-07T19:03:21Z,5790799683,56,Back,5790799687,233,13,5790799685,346,,,,,,,,,,,,,,,,,dnhhxotpnin9pc00ps4gu961h,Carole Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150303,13,5,1,1,42,c072llfz8v0kxjb0y9243dftx,0,101.5,40.4,2025-07-07T19:02:28.105Z,2025-07-07T19:02:44Z,5790799693,233,12,5790799609,56,Center,5790799611,346,,,,,,,,,,,,,,,,,89l4376fhyf32a6tdjou6zqw9,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150281,11,43,1,1,42,27z7xb0913v9ktnlazdhlspja,1,0,0,2025-07-07T19:02:28.413Z,2025-07-07T19:02:40Z,5790799517,56,Back,5790799519,73,0,5790799651,144,6,,,,,,,,,,,,,,,,dnhhxotpnin9pc00ps4gu961h,Carole Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150327,13,1,1,1,58,27z7xb0913v9ktnlazdhlspja,1,3.3,55.2,2025-07-07T19:02:44.902Z,2025-07-07T19:02:47Z,5790799759,213,4.98,5790799763,237,,5790799757,212,17.5,5790799749,124,,5790799753,140,7.7,5790799751,56,Back,5790799755,141,30.4,,,,12eqmq6fxnbc52l63zb4t0x5h,Patrícia Morais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150335,14,1,1,2,1,27z7xb0913v9ktnlazdhlspja,1,7.7,30.4,2025-07-07T19:02:47.212Z,2025-07-07T19:02:52Z,5790799793,140,17.7,5790799791,56,Back,5790799795,141,6.1,5790799797,212,19.6,5790799799,213,5.28,,,,,,,,,,f24lwuatps6dy3yzdifyir6qd,Diana Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150337,15,1,1,2,6,27z7xb0913v9ktnlazdhlspja,0,25.3,4.6,2025-07-07T19:02:52.516Z,2025-07-07T19:02:54Z,5790799811,141,1.0,5790799815,213,6.23,5790799817,1,,5790799813,212,46.6,5790799805,155,,5790799809,140,69.6,5790799807,56,Right,,,,8brmyhnddbrfem17hlo0x8z4l,Ana Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150341,15,49,1,2,9,c072llfz8v0kxjb0y9243dftx,1,37.9,94.8,2025-07-07T19:02:55.880Z,2025-07-07T19:02:55Z,,,,,,,,,,,,,,,,,,,,,,,,,19cmbo4cc9cgh10wgotg3s0k5,E. Linari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150361,16,1,1,2,11,c072llfz8v0kxjb0y9243dftx,0,34,97.3,2025-07-07T19:02:57.290Z,2025-07-07T23:10:38Z,5790799931,212,3.1,5790799925,56,Back,5790799933,213,6.11,5790799929,141,96.5,5790799927,140,36.9,,,,,,,,,,19cmbo4cc9cgh10wgotg3s0k5,E. Linari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826178335,854,61,1,2,12,27z7xb0913v9ktnlazdhlspja,1,63,3.5,2025-07-07T19:02:58.340Z,2025-07-07T23:10:50Z,5790955747,56,Right,,,,,,,,,,,,,,,,,,,,,,7dzhnro49uj2w4lj29v1mv845,Andreia Norton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150353,16,8,1,2,15,27z7xb0913v9ktnlazdhlspja,1,63.1,4.4,2025-07-07T19:03:01.205Z,2025-07-07T23:11:04Z,5790799879,56,Right,5790956073,385,,,,,,,,,,,,,,,,,,,,7dlyawb4x2lr5gjcz5b1y5ivp,Fátima Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150359,17,5,1,2,16,27z7xb0913v9ktnlazdhlspja,0,50.2,-1.8,2025-07-07T19:03:02.156Z,2025-07-07T19:03:07Z,5790799915,347,,5790799987,233,17,5790799913,56,Right,,,,,,,,,,,,,,,,7dlyawb4x2lr5gjcz5b1y5ivp,Fátima Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150369,17,5,1,2,16,c072llfz8v0kxjb0y9243dftx,1,49.8,101.8,2025-07-07T19:03:02.156Z,2025-07-07T19:03:22Z,5790799965,56,Back,5790799969,233,17,5790799967,347,,,,,,,,,,,,,,,,,aat1vixi4qu8bmxtw45maqytx,L. Boattin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150407,18,1,1,2,38,c072llfz8v0kxjb0y9243dftx,0,53.4,100,2025-07-07T19:03:24.520Z,2025-07-07T19:03:28Z,5790800229,213,5.53,5790800227,212,20.5,5790800223,140,67.7,5790800219,107,,5790800221,56,Left,5790800225,141,81.5,,,,,,,19cmbo4cc9cgh10wgotg3s0k5,E. Linari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150409,18,44,1,2,40,27z7xb0913v9ktnlazdhlspja,1,33.8,17.1,2025-07-07T19:03:26.789Z,2025-07-07T19:07:57Z,5790800233,56,Back,5790800273,233,19,5790800235,285,,,,,,,,,,,,,,,,,f24lwuatps6dy3yzdifyir6qd,Diana Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826150411,19,44,1,2,40,c072llfz8v0kxjb0y9243dftx,0,66.2,82.9,2025-07-07T19:03:26.790Z,2025-07-07T19:07:57Z,5790800283,233,18,5790800237,56,Left,5790800239,286,,,,,,,,,,,,,,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
