id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value,assist
2825989391,1,34,16,0,0,65bdix24paj4i7niwm61pbrx9,1,0,0,2025-07-06T17:56:18.933Z,2025-07-06T17:56:47Z,5789910911,130,10,5789910907,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5789910913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5789910909,59,"12, 19, 8, 5, 2, 18, 6, 13, 17, 22, 14, 1, 21, 3, 4, 7, 9, 10, 11, 15, 16, 20, 23",5789910915,194,e8ivbfq0irn8f2p8krhkikzx1,5789910917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5789911351,197,3111,5789910905,30,"b21lh284pf59feun9ktzfmc8a, 7qriv77djurpyvs986k0pppg4, bobxj68o75wejtxot5i1aisx5, 8jooatan3cxd38v2jyf23pot1, 1n0m61yur5f3fcfgvogm23kk5, 1ite4628zwl6kanllmr7qb1zp, 82attu22oztrh3s274g5yv1t5, e8ivbfq0irn8f2p8krhkikzx1, dzisqj9zjrxdxmqeu8kof95d6, 3420vq0z953hw7ndu07n7jy1g, dmu4fdak2txbx64hu58pnc00k, boj14ix58vatf4d51tv49tw4p, 2j3m39tafh9q4i3dyu6m95ka, 6tm7ijy7e8qnrxoyz2irq23v8, 83xh5vuh726yx6l9kie7ufims, 9ipu1pbzzf14ec8ebrqnq1k6i, 9gdocwx006j6wyz4mnhzgzydx, 7ouo3qztrs5lytmtji95oesph, 7ak0q2t9ex8rcov81012amuad, 6ufssidf65zo52ru9q644hq3u, 1jj2ixzj39godwdo6rx19hyad, evuecbix95d4iyto12tckcmsq, f5j2zq9sslh38t8bhyifsjg89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825989597,1,34,16,0,0,aewmai6kvk2mousj7x17ivnc3,1,0,0,2025-07-06T17:57:48.969Z,2025-07-06T19:05:08Z,5789912077,194,fpitimhwhx0wqkkrtuc10mvp,5789912079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5789912071,59,"1, 20, 18, 10, 4, 6, 17, 8, 3, 7, 23, 12, 13, 2, 5, 9, 11, 14, 15, 19, 21, 22",5789912073,130,8,5789912067,30,"1m85a65tvymk8wehikyv32e0a, 2nyteuqhg3tvltcdjmivfoyqx, 9heuvoli8mhpvvx2a5etxwx5h, 9ov9x5gap2t34kv8clhwjqvh1, fpitimhwhx0wqkkrtuc10mvp, 41zohhwv521e5ip9f6xw0b00l, 5f4cglhi9bgrwdqj27cgft39x, 79abiotlhtb5edjedx8oqjysp, 3yb4zwodejg6ohd9xippme0np, 70n6epbcr1l9dvzqrddsbax2h, 9vgflgmrmvq8i95t3n70sur55, 28taok74d18ma4me5cpy2jsh5, 7w3xkv58ny8fab96zc9dzq82y, 4l0t0twvkms04gm3w3b2xvhsl, 9ca7s5ao25ttigkddat1myt7u, 3ymykerx325m9n78m4uupyxux, deg1v8i7tm0x2lybs486ccn9x, 4y88tihssafjvxl809gs19nmx, 21ozarv0t28c56wrbchwusaju, cdo8wo5jraq57v7b9dzbfc5m2, 94ank639ipwrmf820jd76hwtm, 63fk5q1mu3man2hin41ay3tka",5789912069,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5789968703,197,3587,5789912075,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825999929,2,32,1,0,0,65bdix24paj4i7niwm61pbrx9,1,0,0,2025-07-06T19:01:30.927Z,2025-07-06T19:01:31Z,5789970505,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825999931,2,32,1,0,0,aewmai6kvk2mousj7x17ivnc3,1,0,0,2025-07-06T19:01:30.927Z,2025-07-06T19:01:32Z,5789970509,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825999951,3,1,1,0,0,aewmai6kvk2mousj7x17ivnc3,1,50.2,49.9,2025-07-06T19:01:30.928Z,2025-07-06T19:01:37Z,5789970595,56,Back,5789970597,140,34.2,5789970599,141,39.2,5789970603,213,3.55,5789970601,212,18.3,5789970605,279,S,,,,,,,3yb4zwodejg6ohd9xippme0np,S. Jessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825999987,4,1,1,0,6,aewmai6kvk2mousj7x17ivnc3,1,31.2,35.2,2025-07-06T19:01:37.357Z,2025-07-06T20:03:32Z,5789970807,141,79.7,5789970813,1,,5789970809,212,50.9,5789970811,213,0.64,5790071855,157,,5789970805,140,70.2,5789970803,56,Left,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826018057,357,61,1,0,9,aewmai6kvk2mousj7x17ivnc3,1,68.1,82.9,2025-07-06T19:01:39.927Z,2025-07-06T20:03:29Z,5790072155,56,Left,,,,,,,,,,,,,,,,,,,,,,9vgflgmrmvq8i95t3n70sur55,S. Jónsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825999991,5,50,1,0,12,aewmai6kvk2mousj7x17ivnc3,1,83.2,91.9,2025-07-06T19:01:43.421Z,2025-07-06T19:03:26Z,5789973493,233,3,5789970829,286,,5789970827,56,Left,,,,,,,,,,,,,,,,9ov9x5gap2t34kv8clhwjqvh1,D. Brynjarsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825999995,3,7,1,0,12,65bdix24paj4i7niwm61pbrx9,0,16.8,8.1,2025-07-06T19:01:43.422Z,2025-07-06T19:03:27Z,5789970841,285,,5789970839,56,Back,5789973511,233,5,,,,,,,,,,,,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825999999,6,61,1,0,13,aewmai6kvk2mousj7x17ivnc3,1,86.2,93.8,2025-07-06T19:01:44.432Z,2025-07-06T19:01:44Z,5789970865,56,Left,,,,,,,,,,,,,,,,,,,,,,9ov9x5gap2t34kv8clhwjqvh1,D. Brynjarsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
