id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2825354819,57,15,1,6,50,3am1t05nqol6kzj4jknzk0skn,1,81.8,55.3,2025-07-02T19:08:02.308Z,2025-07-02T19:08:43Z,5786355891.0,56.0,Center,5786356089.0,147.0,54.7,5786356087.0,146.0,85.5,5786356047.0,72.0,,5786356073.0,76.0,,5786356083.0,103.0,19,5786356077.0,55.0,56,5786356081.0,102.0,52.3,5adluw93r1tx4n3ta3wyhj7bp,V. Bøe Risa,5786356085.0,328.0,5786356075.0,29.0,,5786356051.0,82.0,,5786355887.0,22.0,,,5786355889.0,18.0,5786356095.0,233.0,76,5786356091.0,230.0,97.3,5786356093.0,231.0,51.3,,,,,,,,,,,,blocked,left_foot,regular_play,18.956001688119784,16.23602417397498,0.0,0.8104399831188022,0.819599731400278,0.6700559126676042,0.6700559126676042,False,-1,False,0.011012562273650663
2825354839,81,15,1,7,7,65bdix24paj4i7niwm61pbrx9,1,85.3,42.7,2025-07-02T19:08:18.826Z,2025-07-02T23:12:54Z,5786356043.0,147.0,47.5,5786356053.0,233.0,58,5786356037.0,103.0,12.0,5786357545.0,23.0,,5786356025.0,80.0,,5786355987.0,17.0,,5786356023.0,15.0,,5786356035.0,102.0,48.0,83xh5vuh726yx6l9kie7ufims,N. Ivelj,5786356027.0,29.0,5786356041.0,146.0,98.1,5786356039.0,328.0,,5786355989.0,56.0,,,5786356031.0,55.0,5786513139.0,114.0,,5786356029.0,154.0,,,,,Center,80,,,,,,,,,,on_target,head,fast_break,16.412799883018135,26.408932273219683,1.0,0.8358720011698186,0.7065674191864479,0.8463190262238619,0.8463190262238619,True,-1,False,0.011943355801705895
2825354879,90,15,1,8,30,65bdix24paj4i7niwm61pbrx9,1,85.3,64.0,2025-07-02T19:09:41.569Z,2025-07-02T23:12:59Z,5786356375.0,147.0,61.6,5786356381.0,233.0,70,5786356359.0,20.0,,5786356379.0,231.0,52.3,5786356377.0,230.0,97.6,5786356373.0,146.0,87.5,5786356399.0,55.0,89,5786356397.0,154.0,,9ipu1pbzzf14ec8ebrqnq1k6i,R. Xhemaili,5786356329.0,56.0,5786356327.0,64.0,,5786356365.0,80.0,,5786356395.0,29.0,Center,,5786356363.0,82.0,5786356369.0,103.0,19,5786356367.0,102.0,47.4,5786356325.0,22.0,,,,,,,,,,,,,blocked,right_foot,regular_play,20.3,43.60281897270362,0.0,0.7969999999999999,0.5155242336366264,0.5734572700909879,0.5734572700909879,True,-1,False,0.00821808907270386
2825355195,135,15,1,14,17,65bdix24paj4i7niwm61pbrx9,1,74.0,29.5,2025-07-02T19:15:29.338Z,2025-07-02T23:13:05Z,5786358267.0,102.0,49.0,5786358269.0,103.0,17.7,5786358209.0,18.0,,5786362241.0,25.0,,5786358263.0,55.0,134,5786358261.0,29.0,,5786358231.0,72.0,,5786358273.0,146.0,98.0,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,5786358211.0,56.0,5786358279.0,233.0,122,5786358259.0,78.0,,5786358271.0,215.0,Center,,5786358275.0,147.0,,,,,,,,,,,45.5,,,,,,,,,,on_target,left_foot,from_corner,33.10966626228661,38.25442035251718,1.0,0.6689033373771339,0.5749508849720313,0.740046600442463,0.740046600442463,False,-1,False,0.006393675486505259
2825355393,162,15,1,15,58,65bdix24paj4i7niwm61pbrx9,1,70.7,31.6,2025-07-02T19:17:10.212Z,2025-07-02T22:16:40Z,5786359321.0,215.0,,5786359329.0,147.0,48.4,5786361085.0,468.0,164,5786359313.0,55.0,161,5786359317.0,102.0,47.9,5786359225.0,18.0,,5786359309.0,81.0,,5786359325.0,328.0,,82attu22oztrh3s274g5yv1t5,G. Reuteler,5786359327.0,146.0,5786359227.0,56.0,Center,5786359223.0,22.0,,5786359335.0,233.0,95.4,,5786359235.0,20.0,5786359323.0,108.0,,5786359311.0,29.0,,5786359319.0,103.0,23.4,141,,,,,,,,,,,on_target,right_foot,regular_play,34.59841036810795,32.12825999782199,1.0,0.6540158963189204,0.6430193333575334,0.7545121585348281,0.7545121585348281,False,-1,False,0.008759701788883892
2825355521,154,15,1,16,55,3am1t05nqol6kzj4jknzk0skn,1,75.3,65.6,2025-07-02T19:18:06.836Z,2025-07-02T22:18:53Z,5786360249.0,146.0,82.1,5786360251.0,147.0,61.6,5786484693.0,468.0,864,5786360239.0,55.0,153,5786363765.0,82.0,,5786363763.0,78.0,,5786359951.0,22.0,,5786363767.0,233.0,171,1cfhmihovl78l8osqbo1w9nth,G. Reiten,5786360243.0,102.0,5786360253.0,230.0,98.4,5786360247.0,215.0,,5786360175.0,72.0,51.0,,5786360255.0,231.0,5786360245.0,103.0,19,5786359953.0,18.0,,5786360237.0,29.0,,,50.2,5786359955.0,56.0,Center,,,,,,,blocked,left_foot,regular_play,29.2138665705175,32.27564431457762,0.0,0.707861334294825,0.6413817298380264,0.5755590526693379,0.5755590526693379,False,-1,False,0.005349760016448075
2825356183,215,15,1,23,35,65bdix24paj4i7niwm61pbrx9,1,77.8,52.2,2025-07-02T19:24:47.112Z,2025-07-02T22:25:24Z,5786365587.0,458.0,,5786365589.0,146.0,84.9,5786365579.0,78.0,,5786365583.0,103.0,19,5786365557.0,72.0,,5786365585.0,215.0,,5786365581.0,102.0,51.0,5786366155.0,468.0,209,82attu22oztrh3s274g5yv1t5,G. Reuteler,5786363667.0,56.0,5786365591.0,147.0,51.8,5786365595.0,231.0,50.7,5786363663.0,22.0,Center,,5786365593.0,230.0,5786365561.0,82.0,,5786363665.0,18.0,,5786365597.0,233.0,205.0,,97.8,,,,,,,,,,blocked,left_foot,regular_play,22.308742680841522,5.659481840162487,0.0,0.7769125731915848,0.9371168684426391,0.6919000898094256,0.6919000898094256,False,-1,False,0.010095709186167975
2825356223,219,15,1,23,47,65bdix24paj4i7niwm61pbrx9,1,76.0,59.3,2025-07-02T19:24:59.440Z,2025-07-02T22:26:02Z,5786363899.0,18.0,,5786366329.0,103.0,31.0,5786366331.0,215.0,,5786366321.0,29.0,,5786488233.0,122.0,,5786366339.0,147.0,51.6,5786366319.0,79.0,,5786363901.0,56.0,Center,82attu22oztrh3s274g5yv1t5,G. Reuteler,5786363897.0,22.0,5786365703.0,20.0,,5786488231.0,113.0,,5786366327.0,102.0,,,5786366335.0,138.0,5786366323.0,55.0,218,5786366333.0,275.0,,5786366337.0,146.0,98.2,50.2,,5786366363.0,233.0,207,,,,,,,on_target,right_foot,regular_play,25.73888109456198,21.18134950026623,1.0,0.7426111890543803,0.7646516722192641,0.8264399772875314,0.8264399772875314,False,-1,False,0.011388971486307143
2825356891,262,16,1,27,9,65bdix24paj4i7niwm61pbrx9,1,89.9,64.2,2025-07-02T19:28:21.374Z,2025-07-02T22:31:17Z,5786367885.0,375.0,27:08.968,5786368537.0,230.0,98.1,5786368533.0,328.0,,5786367875.0,20.0,,5786368525.0,78.0,,5786368535.0,458.0,,5786367609.0,56.0,Center,5786490703.0,395.0,1.5,bobxj68o75wejtxot5i1aisx5,N. Riesen,5786368543.0,274.0,5786490705.0,396.0,46.2,5786367605.0,22.0,,5786368539.0,231.0,,,5786367881.0,374.0,5786368531.0,103.0,1.9,5786368529.0,102.0,48.2,5786368541.0,138.0,,52.3,2025-07-02 20:28:20.513,5786490701.0,64.0,,,,,,,,goal,right_foot,regular_play,17.425555945220225,54.576990059293685,1.2,0.8257444405477977,0.3935889993411813,0.7883744760214735,0.7883744760214735,False,-1,True,0.9756388401932813
2825358177,327,13,1,34,46,65bdix24paj4i7niwm61pbrx9,1,88.6,38.7,2025-07-02T19:35:58.178Z,2025-07-03T02:02:08Z,5786374897.0,20.0,,5786375005.0,55.0,326,5786375001.0,29.0,,5786374807.0,22.0,,5786657109.0,74.0,,5786657107.0,17.0,,5786375003.0,154.0,,5786375009.0,102.0,51.3,82attu22oztrh3s274g5yv1t5,G. Reuteler,5786375017.0,231.0,5786375013.0,328.0,,5786375011.0,103.0,63.9,5786375015.0,230.0,46.6,,5786374811.0,56.0,,,,,,,,,,98.8,Center,,,,,,,,,,missed,right_foot,regular_play,16.051479682571326,44.74759731771083,0.5,0.8394852031742868,0.5028044742476574,0.6866354235440119,0.6866354235440119,True,-1,False,0.007570938779477964
