id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2826284123,53,13,1,3,15,b5hjnvaafo5plphdcoeozkw49,1,96.1,43.6,2025-07-09T16:03:33.481Z,2025-07-09T18:43:57Z,5791537775.0,214.0,,5791538001.0,60.0,,5791537767.0,55.0,51,5791537725.0,15.0,,5791537773.0,103.0,47.2,5791537779.0,231.0,46.8,5791537729.0,328.0,,5791537679.0,56.0,Center,9n2d2dv38kp2exb7z3xh2ykiy,L. James,5791537771.0,102.0,,37.6,5791538003.0,81.0,5791537765.0,154.0,,5791537675.0,22.0,,5791537777.0,230.0,99.0,5791537763.0,29.0,,,,,,,,,,,,,,,,,,,,,,missed,head,regular_play,7.4946647690206945,58.64291477599003,0.5,0.925053352309793,0.3484120580445552,0.6745449583372838,0.6745449583372838,True,-1,False,0.003708718343419245
2826284451,101,13,1,8,25,b5hjnvaafo5plphdcoeozkw49,1,95.4,49.3,2025-07-09T16:08:42.890Z,2025-07-09T18:52:37Z,5791539611.0,154.0,,5791539549.0,15.0,,5791539553.0,328.0,,5791539527.0,56.0,Center,5791539621.0,214.0,,5791539617.0,102.0,41.0,5791539623.0,230.0,99.0,5791539613.0,55.0,100,5qxvej7pcqqr989sba7k0jv85,A. Russo,5791577151.0,84.0,,,5791539625.0,231.0,5791539619.0,103.0,2.8,5791539661.0,16.0,,5791539609.0,29.0,,5791539523.0,22.0,51.1,,,,,,,,,,,,,,,,,,,,,missed,head,regular_play,4.652956049652731,8.65254179111477,0.5,0.9534704395034727,0.9038606467653915,0.8525463698310065,0.8525463698310065,True,-1,False,0.005685075610900109
2826285277,217,16,1,21,16,b5hjnvaafo5plphdcoeozkw49,1,84.4,43.7,2025-07-09T16:21:34.409Z,2025-07-09T19:07:17Z,5791544367.0,230.0,97.3,5791544233.0,56.0,Center,5791544361.0,102.0,47.2,5791544229.0,22.0,,5791544231.0,17.0,,5791581247.0,395.0,97.3,5791544363.0,103.0,25.9,5791544355.0,29.0,,9n2d2dv38kp2exb7z3xh2ykiy,L. James,5791581249.0,396.0,,49.5,5791544357.0,55.0,5791544303.0,374.0,2025-07-09 17:21:33.393,5791544299.0,72.0,,5791544369.0,231.0,49.5,5791544353.0,81.0,216,,5791544307.0,375.0,21:15.737,5791544365.0,215.0,,,,,,,,,,,,,,,goal,left_foot,regular_play,16.824089871371935,21.991129917177126,1.2,0.8317591012862806,0.7556541120313652,0.8993998741239219,0.8993998741239219,False,-1,True,0.9913386400633425
2826285531,188,13,1,25,38,9x7z0xiidyp39vy69huxf6kim,1,81.8,53.0,2025-07-09T16:25:56.482Z,2025-07-09T19:11:09Z,5791545809.0,29.0,,5791545697.0,22.0,,5791583453.0,215.0,,5791545819.0,230.0,98.0,5791545805.0,120.0,,5791545815.0,102.0,41.3,5791545701.0,56.0,Center,5791545817.0,103.0,63.9,23kah59nbx1m7ro3imaaevoph,J. Roord,5791545699.0,18.0,,,5791545807.0,81.0,5791545743.0,20.0,,5791545821.0,231.0,50.5,5791545811.0,55.0,187,,,,,,,,,,,,,,,,,,,,,,,,missed,right_foot,regular_play,18.44559568027013,9.360190801913326,0.5,0.8155440431972987,0.8959978799787408,0.7950169812725417,0.7950169812725417,False,-1,False,0.0029431720328659434
2826286157,359,15,1,35,35,b5hjnvaafo5plphdcoeozkw49,1,91.3,52.5,2025-07-09T16:35:53.203Z,2025-07-09T19:20:56Z,5791549255.0,22.0,,5791549431.0,78.0,,5791549365.0,103.0,19,5791549259.0,56.0,Center,5791549437.0,147.0,51.8,5791549369.0,230.0,97.8,5791549351.0,15.0,,5791549433.0,82.0,,10d8jj5vwrmib55tth0isfvft,L. Hemp,5791549357.0,154.0,,,5791549363.0,102.0,5791549355.0,29.0,,5791549371.0,231.0,49.8,5791549359.0,55.0,358,5791554607.0,233.0,49.3,,5791549435.0,146.0,93.2,5791549367.0,328.0,351,5791549257.0,17.0,,,,,,,,,,,,blocked,head,regular_play,9.052071586106688,16.032339353935964,0.0,0.9094792841389331,0.8218628960673782,0.7103505824757866,0.7103505824757866,True,-1,False,0.00888502953181138
2826286263,375,15,1,37,5,b5hjnvaafo5plphdcoeozkw49,1,90.3,55.4,2025-07-09T16:37:23.444Z,2025-07-09T19:25:19Z,5791550021.0,29.0,,5791550031.0,103.0,11.4,5791549877.0,22.0,,5791550037.0,147.0,49.8,5791550017.0,15.0,,5791550023.0,154.0,,5791550033.0,328.0,,5791550041.0,233.0,277,5qxvej7pcqqr989sba7k0jv85,A. Russo,5791550025.0,55.0,,373,5791550035.0,146.0,5791550019.0,80.0,,5791549881.0,56.0,Center,5791550029.0,102.0,46.7,5791549879.0,17.0,98.2,,,,,,,,,,,,,,,,,,,,,on_target,head,regular_play,11.101801655587261,29.10473162741868,1.0,0.8889819834441274,0.6766140930286814,0.8585770212862555,0.8585770212862555,True,-1,False,0.009354296753093693
2826286269,376,15,1,37,7,b5hjnvaafo5plphdcoeozkw49,1,98.0,40.7,2025-07-09T16:37:25.589Z,2025-07-09T19:23:28Z,5791550187.0,100.0,,5791549921.0,56.0,Center,5791550195.0,231.0,47.7,5791550193.0,230.0,99.0,5791550179.0,102.0,46.1,5791550083.0,20.0,,5791549917.0,22.0,,5791550181.0,103.0,19,9n2d2dv38kp2exb7z3xh2ykiy,L. James,5791550191.0,147.0,,41.3,5791592655.0,80.0,5791550189.0,146.0,98.2,5791550093.0,82.0,,5791550185.0,458.0,,5791549919.0,60.0,,,5791550197.0,233.0,278,,,,,,,,,,,,,,,,,blocked,right_foot,regular_play,9.512623192369176,77.86317554470773,0.0,0.9048737680763083,0.13485360505880295,0.5024055887481642,0.5024055887481642,False,-1,False,0.011398559144215434
2826286417,384,15,1,40,18,b5hjnvaafo5plphdcoeozkw49,1,92.7,56.8,2025-07-09T16:40:36.155Z,2025-07-09T19:26:45Z,5791595033.0,76.0,,5791551157.0,103.0,19,5791551167.0,231.0,51.3,5791551089.0,15.0,,5791550759.0,17.0,,5791551161.0,146.0,93.6,5791551151.0,55.0,382,5791551147.0,29.0,,5qxvej7pcqqr989sba7k0jv85,A. Russo,5791551093.0,328.0,,,5791551495.0,233.0,5791550761.0,56.0,Center,5791551087.0,25.0,,5791551159.0,82.0,,5791551163.0,147.0,299,,5791551149.0,154.0,,5791551165.0,230.0,56.3,5791551155.0,102.0,99.0,52.7,,,,,,,,,,blocked,head,from_corner,9.97647232241938,42.96908576314689,0.0,0.9002352767758062,0.5225657137428124,0.6168638248331662,0.6168638248331662,True,-1,False,0.00644736150737374
2826286515,401,13,1,41,38,b5hjnvaafo5plphdcoeozkw49,1,92.9,54.8,2025-07-09T16:41:56.133Z,2025-07-09T19:29:13Z,5791551255.0,17.0,,5791551253.0,22.0,,5791551327.0,55.0,400,5791551337.0,230.0,98.8,5791551321.0,83.0,,5791551331.0,102.0,57.6,5791551339.0,231.0,50.4,5791551319.0,15.0,,5qxvej7pcqqr989sba7k0jv85,A. Russo,5791551335.0,328.0,,,5791551325.0,154.0,5791551323.0,29.0,,5791551333.0,103.0,12.5,5791551257.0,56.0,Center,,,,,,,,,,,,,,,,,,,,,,,,missed,head,regular_play,8.570297544426325,34.06090881680785,0.5,0.9142970245557367,0.6215454575910239,0.7521824470996018,0.7521824470996018,True,-1,False,0.0031818429643285587
2826286607,412,15,1,43,14,b5hjnvaafo5plphdcoeozkw49,1,80.6,47.7,2025-07-09T16:43:32.607Z,2025-07-09T19:32:47Z,5791552821.0,328.0,,5791552539.0,215.0,,5791552495.0,82.0,,5791551849.0,56.0,Center,5791552535.0,102.0,47.3,5791552855.0,233.0,304,5791552527.0,80.0,,5791552545.0,230.0,98.2,c4tkrrhs6o8ii0wnmi5y66cwl,G. Stanway,5791552819.0,154.0,,,5791552547.0,231.0,5791552529.0,29.0,,5791552817.0,24.0,,5791552541.0,146.0,83.2,5791552537.0,103.0,47.7,,5791552491.0,20.0,,5791552543.0,147.0,19,5791552531.0,55.0,47.7,411,5791551847.0,18.0,,,,,,,,blocked,right_foot,set_piece,19.535864454894238,6.761238510037213,0.0,0.8046413554510576,0.9248751276662532,0.699319080480299,0.699319080480299,True,-1,False,0.0064335900053581075
