id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/13/value,assist
2825701705,1,34,16,0,0,185xqd7s06sm2t85sxzfkrl,1,0,0,2025-07-05T18:12:26.094Z,2025-07-05T19:02:54Z,5788296961,197,2859,5788296955,130,4,5788296963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5788296959,194,7add1fkvvxb1v573fobgh1ryt,5788296951,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5788296957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5788296949,30,"czmpp6e2oo276u9prac16le51, d7ajth6q3ebg8yrf65uqc8xrd, f30p9xqwupzhhiitqubpi79bd, eihksc6tdooqw7ref4nt520a, 757os3ykn2cuocj7tr4dqnw89, el2jrhon9i915qbjdgi96uru2, 1j5u2majmm2vnsgxscl9kjzyt, 7add1fkvvxb1v573fobgh1ryt, 6wn8b28z58phojo0llfp291at, 3gu9gaz6w7eq79qnaqj3b7jdh, dm9vc2mqtbb982sx6kkd992ax, 3eb2tx4nx4etwvuo3bnnl3lk9, e7y7c4srymaidxozrurjct71l, 2q1tt2u2h3q1hb3uz28rofzmc, 7l3val0z7xwpaptf5ebgimnyt, ct4fyrkcvk3i01xiz1wpsyuw9, pugk29yysi9369f969l2o1qt, dp5zny5ls8ys3ml75himru4et, 3uxijnhp1ibbqm6e4lfivq8k5, cbozn7nychmtwwwkrxae2ga21, b3h9p3gomjqttiuz0cxv2nh79, 3vpj71lak1r3zl03qfwawu6tw, ocdptd87q86ed74lanyfdij8",5788296953,59,"16, 5, 13, 18, 2, 4, 8, 7, 12, 20, 17, 1, 21, 3, 6, 9, 10, 11, 14, 15, 19, 22, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825701915,1,34,16,0,0,b5hjnvaafo5plphdcoeozkw49,1,0,0,2025-07-05T18:13:59.028Z,2025-07-05T19:03:30Z,5788298197,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5788298203,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5788298207,197,3207,5788298201,130,8,5788298205,194,6zaowm8oua2nzpobekogff1lh,5788298195,30,"6bejfvxorcqyawi2fmk2kbco9, 1dg7whnmk3nb1adw7n8a7nnbp, 9ohn9m84cy89huz745lirkted, c4tkrrhs6o8ii0wnmi5y66cwl, 6zaowm8oua2nzpobekogff1lh, c6k1w8sothxmc08dbhqjzp1w5, 3sn815dsm0i0rnw9nigjyb0et, 8h7r4d4z2gjne58xwu3koiok5, 5qxvej7pcqqr989sba7k0jv85, 9n2d2dv38kp2exb7z3xh2ykiy, 10d8jj5vwrmib55tth0isfvft, 7e8f4kfwcucaj4239xz0rai1h, bkjq8yp0rffvauz0nz94flfu2, c0my4y3kjf7jbbfujj5l8e8yx, 2a45d0hq84uxfi5t9c65dw7vt, 9t8eb24gwj56ucggp7x0n0ewa, 1ry82n1adajgmjtce487u9q1g, bo5e35lsptja0pnlvk1y38dex, 4payujvwgv750r4y1eeprn1g4, 8gxse7h6ucubo3weq7sp9dnf9, 69nz7p1izpw4i8tle2c8hls2y, bmw6mvkeropjorm2rxzw2fzai, bd1752qgxbodnsgdus42fc99l",5788298199,59,"1, 2, 16, 8, 6, 5, 9, 4, 23, 7, 11, 13, 21, 3, 10, 12, 14, 15, 17, 18, 19, 20, 22",5788298209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709827,2,32,1,0,0,185xqd7s06sm2t85sxzfkrl,1,0,0,2025-07-05T19:02:04.425Z,2025-07-05T21:34:49Z,5788343637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709825,2,32,1,0,0,b5hjnvaafo5plphdcoeozkw49,1,0,0,2025-07-05T19:02:04.425Z,2025-07-05T19:02:04Z,5788343635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709843,3,1,1,0,0,b5hjnvaafo5plphdcoeozkw49,1,49.9,49.7,2025-07-05T19:02:04.729Z,2025-07-05T19:02:08Z,5788343729,141,50.7,5788343735,279,S,5788343725,56,Back,5788343733,213,3.12,5788343731,212,27.7,5788343727,140,23.5,,,,,,,9n2d2dv38kp2exb7z3xh2ykiy,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709857,4,1,1,0,4,b5hjnvaafo5plphdcoeozkw49,0,25.9,48.2,2025-07-05T19:02:08.666Z,2025-07-05T19:02:12Z,5788343835,1,,5788343829,141,29.1,5788343825,56,Center,5788343833,213,6.03,5788343831,212,51.5,5788343823,157,,5788343827,140,73.4,,,,6bejfvxorcqyawi2fmk2kbco9,H. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709865,3,12,1,0,8,185xqd7s06sm2t85sxzfkrl,1,22.7,72.8,2025-07-05T19:02:12.926Z,2025-07-05T19:02:13Z,5788343869,213,0.35,5788343875,15,,5788343865,141,78.0,5788343861,56,Back,5788343867,212,10.3,5788343863,140,31.9,,,,,,,el2jrhon9i915qbjdgi96uru2,A. Sombath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709871,5,44,1,0,9,b5hjnvaafo5plphdcoeozkw49,1,68.8,19.7,2025-07-05T19:02:14.247Z,2025-07-05T20:06:07Z,5788343887,286,,5788343885,56,Right,5788343889,233,4,,,,,,,,,,,,,,,,1dg7whnmk3nb1adw7n8a7nnbp,L. Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709869,4,44,1,0,9,185xqd7s06sm2t85sxzfkrl,0,31.2,80.3,2025-07-05T19:02:14.248Z,2025-07-05T20:06:07Z,5788343901,233,5,5788343883,285,,5788343881,56,Back,,,,,,,,,,,,,,,,7add1fkvvxb1v573fobgh1ryt,S. Karchaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825709877,6,1,1,0,10,b5hjnvaafo5plphdcoeozkw49,0,67.9,16.2,2025-07-05T19:02:14.633Z,2025-07-05T19:02:15Z,5788343919,141,22.7,5788343915,56,Center,5788343923,213,0.85,5788343917,140,71.6,5788343913,3,,5788343921,212,5.9,,,,,,,1dg7whnmk3nb1adw7n8a7nnbp,L. Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
